"","state_name","YEAR","STATE","JURTOT"
"1","Alabama",1978,"AL",5625
"2","Alabama",1979,"AL",5464
"3","Alabama",1980,"AL",6543
"4","Alabama",1981,"AL",7657
"5","Alabama",1982,"AL",9233
"6","Alabama",1983,"AL",9856
"7","Alabama",1984,"AL",10482
"8","Alabama",1985,"AL",11015
"9","Alabama",1986,"AL",11710
"10","Alabama",1987,"AL",12827
"11","Alabama",1988,"AL",12610
"12","Alabama",1989,"AL",13907
"13","Alabama",1990,"AL",15665
"14","Alabama",1991,"AL",16760
"15","Alabama",1992,"AL",17453
"16","Alabama",1993,"AL",18624
"17","Alabama",1994,"AL",19573
"18","Alabama",1995,"AL",20718
"19","Alabama",1996,"AL",21760
"20","Alabama",1997,"AL",22290
"21","Alabama",1998,"AL",22676
"22","Alabama",1999,"AL",24658
"23","Alabama",2000,"AL",26406
"24","Alabama",2001,"AL",26741
"25","Alabama",2002,"AL",27947
"26","Alabama",2003,"AL",27913
"27","Alabama",2004,"AL",25887
"28","Alabama",2005,"AL",27888
"29","Alabama",2006,"AL",28241
"30","Alabama",2007,"AL",29412
"31","Alabama",2008,"AL",30508
"32","Alabama",2009,"AL",31874
"33","Alabama",2010,"AL",31764
"34","Alabama",2011,"AL",32270
"35","Alabama",2012,"AL",32431
"36","Alabama",2013,"AL",32381
"37","Alabama",2014,"AL",31771
"38","Alabama",2015,"AL",30810
"39","Alabama",2016,"AL",28883
"40","Arizona",1978,"AZ",3456
"41","Arizona",1979,"AZ",3749
"42","Arizona",1980,"AZ",4372
"43","Arizona",1981,"AZ",5223
"44","Arizona",1982,"AZ",6069
"45","Arizona",1983,"AZ",6889
"46","Arizona",1984,"AZ",7845
"47","Arizona",1985,"AZ",8531
"48","Arizona",1986,"AZ",9434
"49","Arizona",1987,"AZ",10948
"50","Arizona",1988,"AZ",12095
"51","Arizona",1989,"AZ",13251
"52","Arizona",1990,"AZ",14261
"53","Arizona",1991,"AZ",15415
"54","Arizona",1992,"AZ",16477
"55","Arizona",1993,"AZ",17811
"56","Arizona",1994,"AZ",19746
"57","Arizona",1995,"AZ",21341
"58","Arizona",1996,"AZ",22493
"59","Arizona",1997,"AZ",23484
"60","Arizona",1998,"AZ",25515
"61","Arizona",1999,"AZ",25986
"62","Arizona",2000,"AZ",26510
"63","Arizona",2001,"AZ",27710
"64","Arizona",2002,"AZ",29359
"65","Arizona",2003,"AZ",31170
"66","Arizona",2004,"AZ",32515
"67","Arizona",2005,"AZ",33471
"68","Arizona",2006,"AZ",35801
"69","Arizona",2007,"AZ",37746
"70","Arizona",2008,"AZ",39502
"71","Arizona",2009,"AZ",40544
"72","Arizona",2010,"AZ",40209
"73","Arizona",2011,"AZ",40020
"74","Arizona",2012,"AZ",40080
"75","Arizona",2013,"AZ",41177
"76","Arizona",2014,"AZ",42259
"77","Arizona",2015,"AZ",42719
"78","Arizona",2016,"AZ",42320
"79","Arkansas",1978,"AR",2654
"80","Arkansas",1979,"AR",3042
"81","Arkansas",1980,"AR",2911
