"","YEAR","STATEID","STATE","REGION","state_name","Population","ADCRNEWM","ADCRNEWF","ADCRNOM","ADCRNOF","ADTRANSM","ADTRANSF","ADAWOLM","ADAWOLF","ADESCAPM","ADESCAPF","ADAWESM","ADAWESF","ADRETM","ADRETF","ADOTHM","ADOTHF","ADTOTM","ADTOTF"
"1",1978,1,"AL",3,"Alabama",3831836,0,0,0,0,0,0,0,0,227,16,NA,NA,0,0,139,15,2631,184
"2",1978,2,"AK",4,"Alaska",404766,0,0,0,0,17,2,0,0,3,0,NA,NA,0,0,0,0,270,10
"3",1978,4,"AZ",4,"Arizona",2515316,163,0,44,2,30,0,208,8,32,10,NA,NA,0,0,0,0,1774,134
"4",1978,5,"AR",3,"Arkansas",2243127,98,3,0,0,3,0,0,0,14,0,NA,NA,0,0,0,2,1868,107
"5",1978,6,"CA",4,"California",22835958,0,0,0,0,304,73,0,0,127,5,NA,NA,0,0,0,0,11694,725
"6",1978,8,"CO",4,"Colorado",2766748,0,0,5,0,15,0,0,0,40,2,NA,NA,5,4,0,0,1458,64
"7",1978,9,"CT",1,"Connecticut",3091627,336,18,0,0,109,16,0,0,18,6,NA,NA,0,0,0,0,1960,143
"8",1978,10,"DE",3,"Delaware",594776,0,0,0,0,26,0,0,0,26,0,NA,NA,0,0,292,10,661,32
"9",1978,11,"DC",3,"District of Columbia",665052,48,0,8,0,600,30,191,16,3,0,NA,NA,0,0,0,0,3443,185
"10",1978,12,"FL",3,"Florida",9102032,138,7,215,10,0,0,0,0,493,24,NA,NA,701,34,0,0,8479,409
"11",1978,13,"GA",3,"Georgia",5295751,348,11,0,0,0,0,0,0,346,23,NA,NA,0,0,11,0,5393,349
"12",1978,15,"HI",4,"Hawaii",931584,13,0,0,0,0,0,0,0,14,0,NA,NA,0,0,0,0,198,7
"13",1978,16,"ID",4,"Idaho",910690,9,0,29,0,25,1,8,0,2,0,NA,NA,5,0,12,1,616,37
"14",1978,17,"IL",2,"Illinois",11412561,6,0,167,4,0,0,8,0,6,24,NA,NA,0,0,10,0,6299,214
"15",1978,18,"IN",2,"Indiana",5470214,114,4,0,0,0,0,0,0,42,1,NA,NA,0,0,0,0,2465,125
"16",1978,19,"IA",2,"Iowa",2918069,0,0,4,0,0,0,0,0,44,6,NA,NA,24,0,0,0,919,74
"17",1978,20,"KS",2,"Kansas",2335657,38,2,44,6,0,0,0,0,37,7,NA,NA,4,1,0,10,1529,124
"18",1978,21,"KY",3,"Kentucky",3609976,0,0,71,1,2,0,0,0,87,0,NA,NA,9,2,16,0,2435,119
"19",1978,22,"LA",3,"Louisiana",4068579,0,0,0,0,6,0,0,0,79,5,NA,NA,0,0,0,0,2411,117
"20",1978,23,"ME",1,"Maine",1113566,2,0,0,0,62,0,0,0,1,0,NA,NA,9,0,30,0,486,3
"21",1978,24,"MD",3,"Maryland",4183603,0,0,0,0,234,7,0,0,347,8,NA,NA,0,0,0,0,4647,285
"22",1978,25,"MA",1,"Massachusetts",5736469,0,0,0,0,140,4,0,0,149,15,NA,NA,0,0,0,0,1540,99
"23",1978,26,"MI",2,"Michigan",9217761,0,0,0,0,7,0,0,0,776,83,NA,NA,0,0,0,0,6671,480
"24",1978,27,"MN",2,"Minnesota",4015341,0,0,0,0,0,0,0,0,20,11,NA,NA,0,0,15,7,1284,89
"25",1978,28,"MS",3,"Mississippi",2487816,3,1,36,3,0,0,0,0,21,0,NA,NA,0,0,0,0,1152,125
"26",1978,29,"MO",2,"Missouri",4889399,0,0,0,0,0,0,0,0,21,4,NA,NA,0,0,0,0,2474,116
"27",1978,30,"MT",4,"Montana",782317,0,0,10,0,0,0,0,0,13,0,NA,NA,0,0,0,0,451,21
