"","YEAR","STATEID","STATE","REGION","state_name","Population","CUSGT1M","CUSGT1F","CUSLT1M","CUSLT1F","CUSUNSM","CUSUNSF","CUSTOTM","CUSTOTF","CUSGT1T","CUSLT1T","CUSUNST","CUSTOTT","CNOPRIVM","CNOPRIVF","CWPRIVM","CWPRIVF","JURGT1M","JURGT1F","JURLT1M","JURLT1F","JURUNSM","JURUNSF","JURTOTM","JURTOTF","PVINM","PVINF","PVOTHM","PVOTHF","PVINCLM","PVINCLF","LFM","LFF","LFINCLM","LFINCLF","LFCROWDM","LFCROWDF","LFCRSTM","LFCRSTF","LFCRINCM","LFCRINCF","FEDM","FEDF","OTHSTM","OTHSTF","FACINCLM","FACINCLF","FACROWDM","FACROWDF","CUSLT18M","CUSLT18F","CUSCTZNM","CUSCTZNF"
"1",1978,1,"AL",3,"Alabama",3831836,NA,NA,NA,NA,NA,NA,NA,NA,4242,44,0,4286,NA,NA,NA,NA,5285,244,83,13,0,0,5368,257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1331,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1978,2,"AK",4,"Alaska",404766,NA,NA,NA,NA,NA,NA,NA,NA,333,63,159,555,NA,NA,NA,NA,468,22,57,6,153,6,678,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1978,4,"AZ",4,"Arizona",2515316,NA,NA,NA,NA,NA,NA,NA,NA,3206,6,0,3212,NA,NA,NA,NA,3270,180,5,1,0,0,3275,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1978,5,"AR",3,"Arkansas",2243127,NA,NA,NA,NA,NA,NA,NA,NA,2510,76,0,2586,NA,NA,NA,NA,2480,98,73,3,0,0,2553,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1978,6,"CA",4,"California",22835958,NA,NA,NA,NA,NA,NA,NA,NA,19550,0,1775,21325,NA,NA,NA,NA,18703,847,0,0,1475,300,20178,1147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1978,8,"CO",4,"Colorado",2766748,NA,NA,NA,NA,NA,NA,NA,NA,2452,12,0,2464,NA,NA,NA,NA,2408,66,11,1,0,0,2419,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1978,9,"CT",1,"Connecticut",3091627,NA,NA,NA,NA,NA,NA,NA,NA,1804,409,907,3120,NA,NA,NA,NA,1788,75,381,38,875,32,3044,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1978,10,"DE",3,"Delaware",594776,NA,NA,NA,NA,NA,NA,NA,NA,823,124,183,1130,NA,NA,NA,NA,957,48,127,10,177,6,1261,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1978,11,"DC",3,"District of Columbia",665052,NA,NA,NA,NA,NA,NA,NA,NA,2530,264,70,2864,NA,NA,NA,NA,2478,52,240,24,66,4,2784,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1978,12,"FL",3,"Florida",9102032,NA,NA,NA,NA,NA,NA,NA,NA,20188,189,0,20377,NA,NA,NA,NA,20387,856,185,8,0,0,20572,864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,376,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
