"","YEAR","STATEID","STATE","REGION","state_name","Population","WHITEM","WHITEF","BLACKM","BLACKF","HISPM","HISPF","AIANM","AIANF","ASIANM","ASIANF","NHPIM","NHPIF","APIM","APIF","TWORACEM","TWORACEF","ADDRACEM","ADDRACEF","UNKRACEM","UNKRACEF","TOTRACEM","TOTRACEF","NOTHISPM","NOTHISPF","UNKHISPM","UNKHISPF","TOTHCATM","TOTHCATF"
"1",1978,1,"AL",3,"Alabama",3831836,2097,100,3116,158,0,0,0,0,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0,0,5213,259,5213,259,0,0,NA,NA
"2",1978,2,"AK",4,"Alaska",404766,441,22,176,9,NA,NA,54,3,NA,NA,NA,NA,0,0,NA,NA,NA,NA,7,0,678,34,NA,NA,678,34,NA,NA
"3",1978,4,"AZ",4,"Arizona",2515316,2478,124,641,42,874,38,91,6,NA,NA,NA,NA,5,6,NA,NA,NA,NA,60,3,3275,181,2341,134,60,9,NA,NA
"4",1978,5,"AR",3,"Arkansas",2243127,1207,45,1304,49,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2511,94,2511,94,0,0,NA,NA
"5",1978,6,"CA",4,"California",22835958,12968,732,6743,379,NA,NA,193,29,NA,NA,NA,NA,165,5,NA,NA,NA,NA,109,2,20178,1147,NA,NA,20178,1147,NA,NA
"6",1978,8,"CO",4,"Colorado",2766748,1862,46,533,18,677,13,16,2,NA,NA,NA,NA,8,1,NA,NA,NA,NA,0,0,2419,67,1742,54,0,0,NA,NA
"7",1978,9,"CT",1,"Connecticut",3091627,2007,69,1351,60,443,10,2,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,3360,129,2917,119,0,0,NA,NA
"8",1978,10,"DE",3,"Delaware",594776,555,25,706,39,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,1261,64,NA,NA,1261,64,NA,NA
"9",1978,11,"DC",3,"District of Columbia",665052,84,5,2672,54,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,28,1,2784,60,NA,NA,2784,60,NA,NA
"10",1978,12,"FL",3,"Florida",9102032,9775,303,10156,534,NA,NA,0,0,NA,NA,NA,NA,5,0,NA,NA,NA,NA,0,0,19936,837,NA,NA,19936,837,NA,NA
"11",1978,13,"GA",3,"Georgia",5295751,4308,219,6498,329,3,1,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,46,3,10852,551,0,0,10849,550,NA,NA
"12",1978,15,"HI",4,"Hawaii",931584,80,4,14,2,NA,NA,0,0,NA,NA,NA,NA,333,11,NA,NA,NA,NA,261,20,688,37,NA,NA,688,37,NA,NA
"13",1978,16,"ID",4,"Idaho",910690,727,25,17,2,71,1,26,3,NA,NA,NA,NA,2,0,NA,NA,NA,NA,0,0,772,30,701,29,0,0,NA,NA
"14",1978,17,"IL",2,"Illinois",11412561,4544,106,6304,220,120,8,32,14,NA,NA,NA,NA,38,0,NA,NA,NA,NA,0,0,10918,340,10798,332,0,0,NA,NA
"15",1978,18,"IN",2,"Indiana",5470214,3374,98,1376,71,25,2,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,4,0,4754,169,4729,167,0,0,NA,NA
"16",1978,19,"IA",2,"Iowa",2918069,1603,59,355,19,34,0,25,0,NA,NA,NA,NA,2,0,NA,NA,NA,NA,0,2,1985,80,1951,80,0,0,NA,NA
"17",1978,20,"KS",2,"Kansas",2335657,1406,56,737,40,70,2,44,2,NA,NA,NA,NA,6,0,NA,NA,NA,NA,0,0,2193,98,2123,96,0,0,NA,NA
"18",1978,21,"KY",3,"Kentucky",3609976,2332,67,947,44,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,3279,111,NA,NA,3279,111,NA,NA
"19",1978,22,"LA",3,"Louisiana",4068579,1984,72,5099,136,5,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,7083,208,7078,208,0,0,NA,NA
"20",1978,23,"ME",1,"Maine",1113566,676,15,8,0,0,0,11,1,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,695,16,695,16,0,0,NA,NA
"21",1978,24,"MD",3,"Maryland",4183603,1854,51,5843,193,NA,NA,12,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,13,0,7722,244,NA,NA,7722,244,NA,NA
"22",1978,25,"MA",1,"Massachusetts",5736469,1725,53,1008,42,147,5,2,0,NA,NA,NA,NA,3,0,NA,NA,NA,NA,0,0,2738,95,2591,90,0,0,NA,NA
"23",1978,26,"MI",2,"Michigan",9217761,5590,115,8101,293,259,6,51,1,NA,NA,NA,NA,5,1,NA,NA,NA,NA,576,211,14323,621,0,0,14064,615,NA,NA
"24",1978,27,"MN",2,"Minnesota",4015341,1421,67,301,17,23,1,133,10,NA,NA,NA,NA,2,0,NA,NA,NA,NA,14,0,1871,94,1848,93,0,0,NA,NA
"25",1978,28,"MS",3,"Mississippi",2487816,925,37,1860,73,10,0,0,1,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2785,111,2775,111,0,0,NA,NA
"26",1978,29,"MO",2,"Missouri",4889399,2727,91,2728,91,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,5455,182,NA,NA,5455,182,NA,NA
"27",1978,30,"MT",4,"Montana",782317,558,14,10,0,12,0,107,1,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,675,15,663,15,0,0,NA,NA
"28",1978,31,"NE",2,"Nebraska",1563884,787,43,422,32,48,2,55,8,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,1264,83,1216,81,0,0,NA,NA
"29",1978,32,"NV",4,"Nevada",719436,869,37,373,35,53,1,27,2,NA,NA,NA,NA,5,2,NA,NA,NA,NA,0,0,1274,76,1221,75,0,0,NA,NA
"30",1978,33,"NH",1,"New Hampshire",891520,270,6,6,0,0,0,1,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,277,6,277,6,0,0,NA,NA
"31",1978,34,"NJ",1,"New Jersey",7350804,2191,68,3502,108,399,11,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,5693,176,5294,165,0,0,NA,NA
"32",1978,35,"NM",4,"New Mexico",1238034,1325,54,172,10,809,29,29,3,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,1526,67,717,38,0,0,NA,NA
"33",1978,36,"NY",1,"New York",17680589,9032,211,10485,340,3966,91,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,118,3,19635,554,15669,463,0,0,NA,NA
"34",1978,37,"NC",3,"North Carolina",5759492,5571,190,6856,321,37,2,287,22,NA,NA,NA,NA,4,1,NA,NA,NA,NA,0,0,12718,534,12681,532,0,0,NA,NA
"35",1978,38,"ND",2,"North Dakota",651301,159,3,4,0,2,0,33,1,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,196,4,194,4,0,0,NA,NA
"36",1978,39,"OH",2,"Ohio",10795581,6033,215,6536,323,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,12569,538,NA,NA,12569,538,NA,NA
"37",1978,40,"OK",3,"Oklahoma",2917336,2588,99,1139,73,NA,NA,236,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,47,4,4010,176,NA,NA,4010,176,NA,NA
"38",1978,41,"OR",4,"Oregon",2518298,2417,81,228,32,89,1,101,5,NA,NA,NA,NA,0,0,NA,NA,NA,NA,23,4,2769,122,2680,121,0,0,NA,NA
"39",1978,42,"PA",1,"Pennsylvania",11879396,3487,110,4194,125,NA,NA,1,0,NA,NA,NA,NA,3,0,NA,NA,NA,NA,0,0,7685,235,NA,NA,7685,235,NA,NA
"40",1978,44,"RI",1,"Rhode Island",951816,478,8,152,5,15,1,0,1,NA,NA,NA,NA,0,0,NA,NA,NA,NA,18,2,648,16,615,13,18,2,NA,NA
"41",1978,45,"SC",3,"South Carolina",3044364,3054,132,4028,178,NA,NA,4,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,7086,310,NA,NA,7086,310,NA,NA
"42",1978,46,"SD",2,"South Dakota",688580,362,13,10,0,3,0,142,5,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,514,18,511,18,0,0,NA,NA
"43",1978,47,"TN",3,"Tennessee",4486314,2927,136,2647,125,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,5574,261,NA,NA,5574,261,NA,NA
"44",1978,48,"TX",3,"Texas",13500429,13555,510,10015,495,2439,180,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,23570,1005,21131,825,0,0,NA,NA
