"","YEAR","STATEID","STATE","REGION","state_name","Population","RLUNEXPM","RLUNEXPF","RLUNCOMM","RLUNCOMF","RLUNOTHM","RLUNOTHF","RLCOPROM","RLCOPROF","RLCOSUPM","RLCOSUPF","RLCODPM","RLCODPF","RLCOOTHM","RLCOOTHF","RLDEATHM","RLDEATHF","RLAWOLM","RLAWOLF","RLESCAPM","RLESCAPF","RLAWESM","RLAWESF","RLTRANM","RLTRANF","RLBONDM","RLBONDF","RLOTHM","RLOTHF","RLTOTM","RLTOTF"
"1",1978,1,"AL",3,"Alabama",3831836,1028,44,0,0,42,2,60,2,0,0,1425,90,0,0,NA,NA,0,0,239,19,NA,NA,0,0,13,1,0,0,2823,161
"2",1978,2,"AK",4,"Alaska",404766,0,0,0,0,0,0,0,0,124,6,105,0,0,0,NA,NA,0,0,3,0,NA,NA,81,3,0,0,0,0,313,9
"3",1978,4,"AZ",4,"Arizona",2515316,23,2,8,5,0,0,138,25,162,58,155,12,734,21,NA,NA,212,9,29,8,NA,NA,77,0,0,0,0,0,1546,141
"4",1978,5,"AR",3,"Arkansas",2243127,142,4,0,0,0,0,0,0,0,0,1265,96,69,5,NA,NA,0,0,13,1,NA,NA,16,0,18,1,278,0,1801,107
"5",1978,6,"CA",4,"California",22835958,124,8,0,0,68,12,0,0,0,0,8783,427,0,0,NA,NA,0,0,128,4,NA,NA,293,81,0,0,219,16,9658,549
"6",1978,8,"CO",4,"Colorado",2766748,111,3,0,0,26,0,132,15,0,0,916,48,0,0,NA,NA,0,0,70,3,NA,NA,24,1,14,0,0,0,1302,70
"7",1978,9,"CT",1,"Connecticut",3091627,436,31,45,3,0,0,0,0,0,0,1024,112,0,0,NA,NA,0,0,21,7,NA,NA,35,2,0,0,0,0,1561,155
"8",1978,10,"DE",3,"Delaware",594776,5,0,0,1,12,5,0,0,91,4,129,7,0,0,NA,NA,0,0,52,2,NA,NA,104,1,0,0,87,5,483,25
"9",1978,11,"DC",3,"District of Columbia",665052,474,12,0,0,0,0,0,0,279,8,726,40,0,0,NA,NA,193,19,3,0,NA,NA,1469,96,0,0,4,0,3160,175
"10",1978,12,"FL",3,"Florida",9102032,1087,66,1,0,0,0,0,0,1686,102,2893,176,0,0,NA,NA,0,0,481,29,NA,NA,0,0,695,52,399,24,7291,450
"11",1978,13,"GA",3,"Georgia",5295751,2179,92,55,7,5,2,48,5,0,0,2416,164,842,37,NA,NA,0,0,381,36,NA,NA,0,0,0,0,117,6,6071,349
"12",1978,15,"HI",4,"Hawaii",931584,3,0,0,0,0,0,40,1,0,0,61,1,0,0,NA,NA,0,0,13,0,NA,NA,0,0,0,0,0,0,117,2
"13",1978,16,"ID",4,"Idaho",910690,58,1,0,0,3,0,248,23,0,0,224,9,0,0,NA,NA,10,1,4,0,NA,NA,27,1,3,0,13,0,590,35
"14",1978,17,"IL",2,"Illinois",11412561,0,0,20,0,81,6,0,0,678,28,5586,195,2,0,NA,NA,13,0,8,0,NA,NA,64,4,42,3,369,17,6918,255
"15",1978,18,"IN",2,"Indiana",5470214,250,26,0,0,0,0,216,40,0,0,1787,68,0,0,NA,NA,0,0,48,0,NA,NA,0,0,0,0,0,0,2310,134
"16",1978,19,"IA",2,"Iowa",2918069,227,4,0,0,15,1,69,0,0,0,547,66,0,0,NA,NA,0,0,28,9,NA,NA,0,0,45,0,0,0,934,80
