"","YEAR","STATE","REGION","state_name","Population","CAPDES","CAPOP","CAPRATE"
"1",1978,"AL",3,"Alabama",3831836,0,0,0
"2",1978,"AK",4,"Alaska",404766,0,0,0
"3",1978,"AZ",4,"Arizona",2515316,0,0,0
"4",1978,"AR",3,"Arkansas",2243127,0,0,0
"5",1978,"CA",4,"California",22835958,0,0,0
"6",1978,"CO",4,"Colorado",2766748,0,0,0
"7",1978,"CT",1,"Connecticut",3091627,0,0,0
"8",1978,"DE",3,"Delaware",594776,0,0,0
"9",1978,"DC",3,"District of Columbia",665052,0,0,0
"10",1978,"FL",3,"Florida",9102032,0,0,0
"11",1978,"GA",3,"Georgia",5295751,0,0,0
"12",1978,"HI",4,"Hawaii",931584,0,0,0
"13",1978,"ID",4,"Idaho",910690,0,0,0
"14",1978,"IL",2,"Illinois",11412561,0,0,0
"15",1978,"IN",2,"Indiana",5470214,0,0,0
"16",1978,"IA",2,"Iowa",2918069,0,0,0
"17",1978,"KS",2,"Kansas",2335657,0,0,0
"18",1978,"KY",3,"Kentucky",3609976,0,0,0
"19",1978,"LA",3,"Louisiana",4068579,0,0,0
"20",1978,"ME",1,"Maine",1113566,0,0,0
"21",1978,"MD",3,"Maryland",4183603,0,0,0
"22",1978,"MA",1,"Massachusetts",5736469,0,0,0
"23",1978,"MI",2,"Michigan",9217761,0,0,0
"24",1978,"MN",2,"Minnesota",4015341,0,0,0
"25",1978,"MS",3,"Mississippi",2487816,0,0,0
"26",1978,"MO",2,"Missouri",4889399,0,0,0
"27",1978,"MT",4,"Montana",782317,0,0,0
"28",1978,"NE",2,"Nebraska",1563884,0,0,0
"29",1978,"NV",4,"Nevada",719436,0,0,0
"30",1978,"NH",1,"New Hampshire",891520,0,0,0
"31",1978,"NJ",1,"New Jersey",7350804,0,0,0
"32",1978,"NM",4,"New Mexico",1238034,0,0,0
"33",1978,"NY",1,"New York",17680589,0,0,0
"34",1978,"NC",3,"North Carolina",5759492,0,0,0
"35",1978,"ND",2,"North Dakota",651301,0,0,0
"36",1978,"OH",2,"Ohio",10795581,0,0,0
"37",1978,"OK",3,"Oklahoma",2917336,0,0,0
"38",1978,"OR",4,"Oregon",2518298,0,0,0
"39",1978,"PA",1,"Pennsylvania",11879396,0,0,0
"40",1978,"RI",1,"Rhode Island",951816,0,0,0
"41",1978,"SC",3,"South Carolina",3044364,0,0,0
"42",1978,"SD",2,"South Dakota",688580,0,0,0
"43",1978,"TN",3,"Tennessee",4486314,0,0,0
"44",1978,"TX",3,"Texas",13500429,0,0,0
"45",1978,"UT",4,"Utah",1367510,0,0,0
"46",1978,"VT",1,"Vermont",498109,0,0,0
"47",1978,"VA",3,"Virginia",5270240,0,0,0
"48",1978,"WA",4,"Washington",3889073,0,0,0
"49",1978,"WV",3,"West Virginia",1923395,0,0,0
"50",1978,"WI",2,"Wisconsin",4646108,0,0,0
"51",1978,"WY",4,"Wyoming",432880,0,0,0
"52",1978,"ST",7,"State prison total",NA,0,0,0
"53",1978,"US",5,"US prison total (state+federal)",NA,0,0,0
"54",1978,"FE",6,"Federal BOP",NA,0,0,0
"55",1979,"AL",3,"Alabama",3866248,0,0,0
"56",1979,"AK",4,"Alaska",402753,0,0,0
"57",1979,"AZ",4,"Arizona",2635571,0,0,0
"58",1979,"AR",3,"Arkansas",2271333,0,0,0
"59",1979,"CA",4,"California",23256880,0,0,0
"60",1979,"CO",4,"Colorado",2849234,0,0,0
"61",1979,"CT",1,"Connecticut",3095917,0,0,0
"62",1979,"DE",3,"Delaware",594984,0,0,0
"63",1979,"DC",3,"District of Columbia",650016,0,0,0
"64",1979,"FL",3,"Florida",9426159,0,0,0
"65",1979,"GA",3,"Georgia",5401384,0,0,0
"66",1979,"HI",4,"Hawaii",953306,0,0,0
"67",1979,"ID",4,"Idaho",932627,0,0,0
"68",1979,"IL",2,"Illinois",11396837,0,0,0
"69",1979,"IN",2,"Indiana",5501174,0,0,0
"70",1979,"IA",2,"Iowa",2915739,0,0,0
"71",1979,"KS",2,"Kansas",2350906,0,0,0
"72",1979,"KY",3,"Kentucky",3641804,0,0,0
"73",1979,"LA",3,"Louisiana",4137665,0,0,0
"74",1979,"ME",1,"Maine",1122563,0,0,0
"75",1979,"MD",3,"Maryland",4191160,0,0,0
"76",1979,"MA",1,"Massachusetts",5738404,0,0,0
"77",1979,"MI",2,"Michigan",9266268,0,0,0
"78",1979,"MN",2,"Minnesota",4050316,0,0,0
"79",1979,"MS",3,"Mississippi",2507069,0,0,0
"80",1979,"MO",2,"Missouri",4912430,0,0,0
"81",1979,"MT",4,"Montana",787305,0,0,0
"82",1979,"NE",2,"Nebraska",1567344,0,0,0
"83",1979,"NV",4,"Nevada",765367,0,0,0
"84",1979,"NH",1,"New Hampshire",909074,0,0,0
"85",1979,"NJ",1,"New Jersey",7366512,0,0,0
"86",1979,"NM",4,"New Mexico",1284722,0,0,0
"87",1979,"NY",1,"New York",17583838,0,0,0
"88",1979,"NC",3,"North Carolina",5823491,0,0,0
"89",1979,"ND",2,"North Dakota",652896,0,0,0
"90",1979,"OH",2,"Ohio",10798298,0,0,0
"91",1979,"OK",3,"Oklahoma",2975310,0,0,0
"92",1979,"OR",4,"Oregon",2588012,0,0,0
"93",1979,"PA",1,"Pennsylvania",11887975,0,0,0
"94",1979,"RI",1,"Rhode Island",950382,0,0,0
"95",1979,"SC",3,"South Carolina",3090267,0,0,0
"96",1979,"SD",2,"South Dakota",688335,0,0,0
"97",1979,"TN",3,"Tennessee",4560473,0,0,0
"98",1979,"TX",3,"Texas",13888371,0,0,0
"99",1979,"UT",4,"Utah",1420238,0,0,0
"100",1979,"VT",1,"Vermont",505372,0,0,0
"101",1979,"VA",3,"Virginia",5307945,0,0,0
"102",1979,"WA",4,"Washington",4017632,0,0,0
"103",1979,"WV",3,"West Virginia",1942146,0,0,0
"104",1979,"WI",2,"Wisconsin",4682811,0,0,0
"105",1979,"WY",4,"Wyoming",454378,0,0,0
"106",1979,"ST",7,"State prison total",NA,0,0,0
"107",1979,"US",5,"US prison total (state+federal)",NA,0,0,0
"108",1979,"FE",6,"Federal BOP",NA,0,0,0
"109",1980,"AL",3,"Alabama",3918531,0,0,0
"110",1980,"AK",4,"Alaska",418488,0,0,0
"111",1980,"AZ",4,"Arizona",2810127,0,0,0
"112",1980,"AR",3,"Arkansas",2293195,0,0,0
"113",1980,"CA",4,"California",24285937,0,0,0
"114",1980,"CO",4,"Colorado",2977895,0,0,0
"115",1980,"CT",1,"Connecticut",3128839,0,0,0
"116",1980,"DE",3,"Delaware",595971,0,0,0
"117",1980,"DC",3,"District of Columbia",636894,0,0,0
"118",1980,"FL",3,"Florida",10192778,0,0,0
"119",1980,"GA",3,"Georgia",5568343,0,0,0
"120",1980,"HI",4,"Hawaii",978174,0,0,0
"121",1980,"ID",4,"Idaho",962203,0,0,0
"122",1980,"IL",2,"Illinois",11443461,0,0,0
"123",1980,"IN",2,"Indiana",5480425,0,0,0
"124",1980,"IA",2,"Iowa",2907975,0,0,0
"125",1980,"KS",2,"Kansas",2384859,0,0,0
"126",1980,"KY",3,"Kentucky",3670385,0,0,0
"127",1980,"LA",3,"Louisiana",4283298,0,0,0
"128",1980,"ME",1,"Maine",1133021,0,0,0
"129",1980,"MD",3,"Maryland",4261908,0,0,0
"130",1980,"MA",1,"Massachusetts",5768683,0,0,0
"131",1980,"MI",2,"Michigan",9209284,0,0,0
"132",1980,"MN",2,"Minnesota",4111674,0,0,0
"133",1980,"MS",3,"Mississippi",2539051,0,0,0
"134",1980,"MO",2,"Missouri",4932079,0,0,0
"135",1980,"MT",4,"Montana",795317,0,0,0
"136",1980,"NE",2,"Nebraska",1578528,0,0,0
"137",1980,"NV",4,"Nevada",847639,0,0,0
"138",1980,"NH",1,"New Hampshire",936644,0,0,0
"139",1980,"NJ",1,"New Jersey",7407475,0,0,0
"140",1980,"NM",4,"New Mexico",1332709,0,0,0
"141",1980,"NY",1,"New York",17567729,0,0,0
"142",1980,"NC",3,"North Carolina",5956661,0,0,0
"143",1980,"ND",2,"North Dakota",659524,0,0,0
"144",1980,"OH",2,"Ohio",10788324,0,0,0
"145",1980,"OK",3,"Oklahoma",3096157,0,0,0
"146",1980,"OR",4,"Oregon",2667984,0,0,0
"147",1980,"PA",1,"Pennsylvania",11858571,0,0,0
"148",1980,"RI",1,"Rhode Island",953007,0,0,0
"149",1980,"SC",3,"South Carolina",3179235,0,0,0
"150",1980,"SD",2,"South Dakota",689569,0,0,0
"151",1980,"TN",3,"Tennessee",4627667,0,0,0
"152",1980,"TX",3,"Texas",14746313,0,0,0
"153",1980,"UT",4,"Utah",1515469,0,0,0
"154",1980,"VT",1,"Vermont",515605,0,0,0
"155",1980,"VA",3,"Virginia",5444106,0,0,0
"156",1980,"WA",4,"Washington",4235731,0,0,0
"157",1980,"WV",3,"West Virginia",1954115,0,0,0
"158",1980,"WI",2,"Wisconsin",4726336,0,0,0
"159",1980,"WY",4,"Wyoming",491715,0,0,0
"160",1980,"ST",7,"State prison total",NA,0,0,0
"161",1980,"US",5,"US prison total (state+federal)",NA,0,0,0
"162",1980,"FE",6,"Federal BOP",NA,0,0,0
"163",1981,"AL",3,"Alabama",3925229,0,0,0
"164",1981,"AK",4,"Alaska",449611,0,0,0
"165",1981,"AZ",4,"Arizona",2889865,0,0,0
"166",1981,"AR",3,"Arkansas",2294262,0,0,0
"167",1981,"CA",4,"California",24820007,0,0,0
"168",1981,"CO",4,"Colorado",3061569,0,0,0
"169",1981,"CT",1,"Connecticut",3139012,0,0,0
"170",1981,"DE",3,"Delaware",599136,0,0,0
"171",1981,"DC",3,"District of Columbia",634171,0,0,0
"172",1981,"FL",3,"Florida",10471407,0,0,0
"173",1981,"GA",3,"Georgia",5649793,0,0,0
"174",1981,"HI",4,"Hawaii",993802,0,0,0
"175",1981,"ID",4,"Idaho",973729,0,0,0
"176",1981,"IL",2,"Illinois",11423414,0,0,0
"177",1981,"IN",2,"Indiana",5467927,0,0,0
"178",1981,"IA",2,"Iowa",2888190,0,0,0
"179",1981,"KS",2,"Kansas",2401211,0,0,0
"180",1981,"KY",3,"Kentucky",3683437,0,0,0
"181",1981,"LA",3,"Louisiana",4352610,0,0,0
"182",1981,"ME",1,"Maine",1136684,0,0,0
"183",1981,"MD",3,"Maryland",4282917,0,0,0
"184",1981,"MA",1,"Massachusetts",5771226,0,0,0
"185",1981,"MI",2,"Michigan",9115202,0,0,0
"186",1981,"MN",2,"Minnesota",4131444,0,0,0
"187",1981,"MS",3,"Mississippi",2556768,0,0,0
"188",1981,"MO",2,"Missouri",4929442,0,0,0
"189",1981,"MT",4,"Montana",803990,0,0,0
"190",1981,"NE",2,"Nebraska",1581786,0,0,0
"191",1981,"NV",4,"Nevada",881545,0,0,0
"192",1981,"NH",1,"New Hampshire",947717,0,0,0
"193",1981,"NJ",1,"New Jersey",7430968,0,0,0
"194",1981,"NM",4,"New Mexico",1363794,0,0,0
"195",1981,"NY",1,"New York",17589746,0,0,0
"196",1981,"NC",3,"North Carolina",6019141,0,0,0
"197",1981,"ND",2,"North Dakota",668969,0,0,0
"198",1981,"OH",2,"Ohio",10757088,0,0,0
"199",1981,"OK",3,"Oklahoma",3206124,0,0,0
"200",1981,"OR",4,"Oregon",2664922,0,0,0
"201",1981,"PA",1,"Pennsylvania",11845148,0,0,0
"202",1981,"RI",1,"Rhode Island",954176,0,0,0
"203",1981,"SC",3,"South Carolina",3207618,0,0,0
"204",1981,"SD",2,"South Dakota",690615,0,0,0
"205",1981,"TN",3,"Tennessee",4646043,0,0,0
"206",1981,"TX",3,"Texas",15331410,0,0,0
"207",1981,"UT",4,"Utah",1558316,0,0,0
"208",1981,"VT",1,"Vermont",519107,0,0,0
"209",1981,"VA",3,"Virginia",5492773,0,0,0
"210",1981,"WA",4,"Washington",4276545,0,0,0
"211",1981,"WV",3,"West Virginia",1949606,0,0,0
"212",1981,"WI",2,"Wisconsin",4728876,0,0,0
"213",1981,"WY",4,"Wyoming",506408,0,0,0
"214",1981,"ST",7,"State prison total",NA,0,0,0
"215",1981,"US",5,"US prison total (state+federal)",NA,0,0,0
"216",1981,"FE",6,"Federal BOP",NA,0,0,0
"217",1982,"AL",3,"Alabama",3934103,0,0,0
"218",1982,"AK",4,"Alaska",488417,0,0,0
"219",1982,"AZ",4,"Arizona",2968928,0,0,0
"220",1982,"AR",3,"Arkansas",2305754,0,0,0
"221",1982,"CA",4,"California",25360023,0,0,0
"222",1982,"CO",4,"Colorado",3133628,0,0,0
"223",1982,"CT",1,"Connecticut",3162343,0,0,0
"224",1982,"DE",3,"Delaware",605415,0,0,0
"225",1982,"DC",3,"District of Columbia",632439,0,0,0
"226",1982,"FL",3,"Florida",10749845,0,0,0
"227",1982,"GA",3,"Georgia",5728254,0,0,0
"228",1982,"HI",4,"Hawaii",1012717,0,0,0
"229",1982,"ID",4,"Idaho",981858,0,0,0
"230",1982,"IL",2,"Illinois",11408823,0,0,0
"231",1982,"IN",2,"Indiana",5450402,0,0,0
"232",1982,"IA",2,"Iowa",2870550,0,0,0
"233",1982,"KS",2,"Kansas",2415537,0,0,0
"234",1982,"KY",3,"Kentucky",3694480,0,0,0
"235",1982,"LA",3,"Louisiana",4395316,0,0,0
"236",1982,"ME",1,"Maine",1144769,0,0,0
"237",1982,"MD",3,"Maryland",4313319,0,0,0
"238",1982,"MA",1,"Massachusetts",5799403,0,0,0
"239",1982,"MI",2,"Michigan",9047753,0,0,0
"240",1982,"MN",2,"Minnesota",4141438,0,0,0
"241",1982,"MS",3,"Mississippi",2567730,0,0,0
"242",1982,"MO",2,"Missouri",4943727,0,0,0
"243",1982,"MT",4,"Montana",814028,0,0,0
"244",1982,"NE",2,"Nebraska",1584301,0,0,0
"245",1982,"NV",4,"Nevada",901974,0,0,0
"246",1982,"NH",1,"New Hampshire",958125,0,0,0
"247",1982,"NJ",1,"New Jersey",7467789,0,0,0
"248",1982,"NM",4,"New Mexico",1394352,0,0,0
"249",1982,"NY",1,"New York",17686905,0,0,0
"250",1982,"NC",3,"North Carolina",6077066,0,0,0
"251",1982,"ND",2,"North Dakota",676685,0,0,0
"252",1982,"OH",2,"Ohio",10737635,0,0,0
"253",1982,"OK",3,"Oklahoma",3290404,0,0,0
"254",1982,"OR",4,"Oregon",2653058,0,0,0
"255",1982,"PA",1,"Pennsylvania",11837728,0,0,0
"256",1982,"RI",1,"Rhode Island",956376,0,0,0
"257",1982,"SC",3,"South Carolina",3234074,0,0,0
"258",1982,"SD",2,"South Dakota",692985,0,0,0
"259",1982,"TN",3,"Tennessee",4659755,0,0,0
"260",1982,"TX",3,"Texas",15751678,0,0,0
"261",1982,"UT",4,"Utah",1594939,0,0,0
"262",1982,"VT",1,"Vermont",523308,0,0,0
"263",1982,"VA",3,"Virginia",5564658,0,0,0
"264",1982,"WA",4,"Washington",4300270,0,0,0
"265",1982,"WV",3,"West Virginia",1945065,0,0,0
"266",1982,"WI",2,"Wisconsin",4721445,0,0,0
"267",1982,"WY",4,"Wyoming",510329,0,0,0
"268",1982,"ST",7,"State prison total",NA,0,0,0
"269",1982,"US",5,"US prison total (state+federal)",NA,0,0,0
"270",1982,"FE",6,"Federal BOP",NA,0,0,0
"271",1983,"AL",3,"Alabama",3951826,0,0,0
"272",1983,"AK",4,"Alaska",513703,0,0,0
"273",1983,"AZ",4,"Arizona",3067142,0,0,0
"274",1983,"AR",3,"Arkansas",2319774,0,0,0
"275",1983,"CA",4,"California",25844389,0,0,0
"276",1983,"CO",4,"Colorado",3169987,0,0,0
"277",1983,"CT",1,"Connecticut",3180023,0,0,0
"278",1983,"DE",3,"Delaware",611517,0,0,0
"279",1983,"DC",3,"District of Columbia",633382,0,0,0
"280",1983,"FL",3,"Florida",11039921,0,0,0
"281",1983,"GA",3,"Georgia",5834957,0,0,0
"282",1983,"HI",4,"Hawaii",1027935,0,0,0
"283",1983,"ID",4,"Idaho",990841,0,0,0
"284",1983,"IL",2,"Illinois",11412138,0,0,0
"285",1983,"IN",2,"Indiana",5458328,0,0,0
"286",1983,"IA",2,"Iowa",2858624,0,0,0
"287",1983,"KS",2,"Kansas",2424076,0,0,0
"288",1983,"KY",3,"Kentucky",3695451,0,0,0
"289",1983,"LA",3,"Louisiana",4400474,0,0,0
"290",1983,"ME",1,"Maine",1155630,0,0,0
"291",1983,"MD",3,"Maryland",4365238,0,0,0
"292",1983,"MA",1,"Massachusetts",5840772,0,0,0
"293",1983,"MI",2,"Michigan",9049446,0,0,0
"294",1983,"MN",2,"Minnesota",4157698,0,0,0
"295",1983,"MS",3,"Mississippi",2578058,0,0,0
"296",1983,"MO",2,"Missouri",4975283,0,0,0
"297",1983,"MT",4,"Montana",820893,0,0,0
"298",1983,"NE",2,"Nebraska",1588629,0,0,0
"299",1983,"NV",4,"Nevada",924905,0,0,0
"300",1983,"NH",1,"New Hampshire",976864,0,0,0
"301",1983,"NJ",1,"New Jersey",7515478,0,0,0
"302",1983,"NM",4,"New Mexico",1416665,0,0,0
"303",1983,"NY",1,"New York",17745690,0,0,0
"304",1983,"NC",3,"North Carolina",6164014,0,0,0
"305",1983,"ND",2,"North Dakota",680498,0,0,0
"306",1983,"OH",2,"Ohio",10737746,0,0,0
"307",1983,"OK",3,"Oklahoma",3285528,0,0,0
"308",1983,"OR",4,"Oregon",2666592,0,0,0
"309",1983,"PA",1,"Pennsylvania",11815171,0,0,0
"310",1983,"RI",1,"Rhode Island",961901,0,0,0
"311",1983,"SC",3,"South Carolina",3271861,0,0,0
"312",1983,"SD",2,"South Dakota",697239,0,0,0
"313",1983,"TN",3,"Tennessee",4686740,0,0,0
"314",1983,"TX",3,"Texas",16007077,0,0,0
"315",1983,"UT",4,"Utah",1622341,0,0,0
"316",1983,"VT",1,"Vermont",526658,0,0,0
"317",1983,"VA",3,"Virginia",5643860,0,0,0
"318",1983,"WA",4,"Washington",4343650,0,0,0
"319",1983,"WV",3,"West Virginia",1927701,0,0,0
"320",1983,"WI",2,"Wisconsin",4735576,0,0,0
"321",1983,"WY",4,"Wyoming",504893,0,0,0
"322",1983,"ST",7,"State prison total",NA,0,0,0
"323",1983,"US",5,"US prison total (state+federal)",NA,0,0,0
"324",1983,"FE",6,"Federal BOP",NA,0,0,0
"325",1984,"AL",3,"Alabama",3972520,0,0,0
"326",1984,"AK",4,"Alaska",532492,0,0,0
"327",1984,"AZ",4,"Arizona",3183535,0,0,0
"328",1984,"AR",3,"Arkansas",2327044,0,0,0
"329",1984,"CA",4,"California",26441112,0,0,0
"330",1984,"CO",4,"Colorado",3208717,0,0,0
"331",1984,"CT",1,"Connecticut",3201128,0,0,0
"332",1984,"DE",3,"Delaware",618284,0,0,0
"333",1984,"DC",3,"District of Columbia",634543,0,0,0
"334",1984,"FL",3,"Florida",11351122,0,0,0
"335",1984,"GA",3,"Georgia",5962668,0,0,0
"336",1984,"HI",4,"Hawaii",1039683,0,0,0
"337",1984,"ID",4,"Idaho",994046,0,0,0
"338",1984,"IL",2,"Illinois",11399804,0,0,0
"339",1984,"IN",2,"Indiana",5459216,0,0,0
"340",1984,"IA",2,"Iowa",2829685,0,0,0
"341",1984,"KS",2,"Kansas",2427412,0,0,0
"342",1984,"KY",3,"Kentucky",3694827,0,0,0
"343",1984,"LA",3,"Louisiana",4408121,0,0,0
"344",1984,"ME",1,"Maine",1162935,0,0,0
"345",1984,"MD",3,"Maryland",4413075,0,0,0
"346",1984,"MA",1,"Massachusetts",5880743,0,0,0
"347",1984,"MI",2,"Michigan",9076297,0,0,0
"348",1984,"MN",2,"Minnesota",4184286,0,0,0
"349",1984,"MS",3,"Mississippi",2588097,0,0,0
"350",1984,"MO",2,"Missouri",5000254,0,0,0
"351",1984,"MT",4,"Montana",822305,0,0,0
"352",1984,"NE",2,"Nebraska",1584662,0,0,0
"353",1984,"NV",4,"Nevada",951024,0,0,0
"354",1984,"NH",1,"New Hampshire",996757,0,0,0
"355",1984,"NJ",1,"New Jersey",7565519,0,0,0
"356",1984,"NM",4,"New Mexico",1438371,0,0,0
"357",1984,"NY",1,"New York",17791670,0,0,0
"358",1984,"NC",3,"North Carolina",6253989,0,0,0
"359",1984,"ND",2,"North Dakota",676991,0,0,0
"360",1984,"OH",2,"Ohio",10734920,0,0,0
"361",1984,"OK",3,"Oklahoma",3271332,0,0,0
"362",1984,"OR",4,"Oregon",2672648,0,0,0
"363",1984,"PA",1,"Pennsylvania",11770855,0,0,0
"364",1984,"RI",1,"Rhode Island",968950,0,0,0
"365",1984,"SC",3,"South Carolina",3303208,0,0,0
"366",1984,"SD",2,"South Dakota",698400,0,0,0
"367",1984,"TN",3,"Tennessee",4715287,0,0,0
"368",1984,"TX",3,"Texas",16272735,0,0,0
"369",1984,"UT",4,"Utah",1642907,0,0,0
"370",1984,"VT",1,"Vermont",530029,0,0,0
"371",1984,"VA",3,"Virginia",5715156,0,0,0
"372",1984,"WA",4,"Washington",4400098,0,0,0
"373",1984,"WV",3,"West Virginia",1906828,0,0,0
"374",1984,"WI",2,"Wisconsin",4747753,0,0,0
"375",1984,"WY",4,"Wyoming",499692,0,0,0
"376",1984,"ST",7,"State prison total",NA,0,0,0
"377",1984,"US",5,"US prison total (state+federal)",NA,0,0,0
"378",1984,"FE",6,"Federal BOP",NA,0,0,0
"379",1985,"AL",3,"Alabama",3991562,0,0,0
"380",1985,"AK",4,"Alaska",544269,0,0,0
