,year,name,Population
0,1900,Alabama,1830000
1,1901,Alabama,1907000
2,1902,Alabama,1935000
3,1903,Alabama,1957000
4,1904,Alabama,1978000
5,1905,Alabama,2012000
6,1906,Alabama,2045000
7,1907,Alabama,2058000
8,1908,Alabama,2070000
9,1909,Alabama,2108000
10,1910,Alabama,2150000
11,1911,Alabama,2185000
12,1912,Alabama,2217000
13,1913,Alabama,2279000
14,1914,Alabama,2336000
15,1915,Alabama,2345000
16,1916,Alabama,2359000
17,1917,Alabama,2361000
18,1918,Alabama,2343000
19,1919,Alabama,2337000
20,1920,Alabama,2359000
21,1921,Alabama,2402000
22,1922,Alabama,2434000
23,1923,Alabama,2464000
24,1924,Alabama,2501000
25,1925,Alabama,2534000
26,1926,Alabama,2567000
27,1927,Alabama,2609000
28,1928,Alabama,2640000
29,1929,Alabama,2644000
30,1930,Alabama,2647000
31,1931,Alabama,2649000
32,1932,Alabama,2653000
33,1933,Alabama,2661000
34,1934,Alabama,2685000
35,1935,Alabama,2719000
36,1936,Alabama,2743000
37,1937,Alabama,2762000
38,1938,Alabama,2787000
39,1939,Alabama,2814000
40,1940,Alabama,2845000
41,1941,Alabama,2902000
42,1942,Alabama,2941000
43,1943,Alabama,2902000
44,1944,Alabama,2802000
45,1945,Alabama,2775000
46,1950,Alabama,3058000
47,1951,Alabama,3059000
48,1952,Alabama,3068000
49,1953,Alabama,3053000
50,1954,Alabama,3014000
51,1955,Alabama,3050000
52,1956,Alabama,3071000
53,1957,Alabama,3109000
54,1958,Alabama,3163000
55,1959,Alabama,3204000
56,1960,Alabama,3274000
57,1961,Alabama,3316000
58,1962,Alabama,3323000
59,1963,Alabama,3358000
60,1964,Alabama,3395000
61,1965,Alabama,3443000
62,1966,Alabama,3464000
63,1967,Alabama,3458000
64,1968,Alabama,3446000
65,1969,Alabama,3440000
66,1970,Alabama,3444354
67,1971,Alabama,3497076
68,1972,Alabama,3539400
69,1973,Alabama,3579780
70,1974,Alabama,3626499
71,1975,Alabama,3678814
72,1976,Alabama,3735139
73,1977,Alabama,3780403
74,1978,Alabama,3831836
75,1979,Alabama,3866248
76,1980,Alabama,3918531
77,1981,Alabama,3925229
78,1982,Alabama,3934103
79,1983,Alabama,3951826
80,1984,Alabama,3972520
81,1985,Alabama,3991562
82,1986,Alabama,4015257
83,1987,Alabama,4023848
84,1988,Alabama,4030224
85,1989,Alabama,4040587
86,1990,Alabama,4048526
87,1991,Alabama,4091397
88,1992,Alabama,4139880
89,1993,Alabama,4193639
90,1994,Alabama,4233214
91,1995,Alabama,4263125
92,1996,Alabama,4290678
93,1997,Alabama,4320692
94,1998,Alabama,4350594
95,1999,Alabama,4369224
96,2000,Alabama,4385739
97,2001,Alabama,4463343
98,2002,Alabama,4471462
99,2003,Alabama,4489876
100,2004,Alabama,4510588
101,2005,Alabama,4542912
102,2006,Alabama,4594911
103,2007,Alabama,4634063
104,2008,Alabama,4673889
105,2009,Alabama,4707496
106,2010,Alabama,4729656
107,2011,Alabama,4798834
108,2012,Alabama,4815564
109,2013,Alabama,4830460
110,2014,Alabama,4842481
111,2015,Alabama,4853160
112,2016,Alabama,4864745
113,2017,Alabama,4875120
114,2018,Alabama,4887871
0,1950,Alaska,135000
1,1951,Alaska,158000
2,1952,Alaska,189000
3,1953,Alaska,205000
4,1954,Alaska,215000
5,1955,Alaska,222000
6,1956,Alaska,224000
7,1957,Alaska,231000
8,1958,Alaska,224000
9,1959,Alaska,224000
10,1960,Alaska,229000
11,1961,Alaska,238000
12,1962,Alaska,246000
13,1963,Alaska,256000
14,1964,Alaska,263000
15,1965,Alaska,271000
16,1966,Alaska,271000
17,1967,Alaska,278000
18,1968,Alaska,285000
19,1969,Alaska,296000
20,1970,Alaska,302583
21,1971,Alaska,315510
22,1972,Alaska,324464
23,1973,Alaska,330543
24,1974,Alaska,341063
25,1975,Alaska,376170
26,1976,Alaska,400969
27,1977,Alaska,403436
28,1978,Alaska,404766
29,1979,Alaska,402753
30,1980,Alaska,418488
31,1981,Alaska,449611
32,1982,Alaska,488417
33,1983,Alaska,513703
34,1984,Alaska,532492
35,1985,Alaska,544269
36,1986,Alaska,539310
37,1987,Alaska,541982
38,1988,Alaska,547153
39,1989,Alaska,550043
40,1990,Alaska,553120
41,1991,Alaska,569273
42,1992,Alaska,587073
43,1993,Alaska,596993
44,1994,Alaska,600624
45,1995,Alaska,601345
46,1996,Alaska,604918
47,1997,Alaska,608846
48,1998,Alaska,615205
49,1999,Alaska,619500
50,2000,Alaska,622091
51,2001,Alaska,633538
52,2002,Alaska,641974
53,2003,Alaska,647671
54,2004,Alaska,659305
55,2005,Alaska,667114
56,2006,Alaska,675322
57,2007,Alaska,679893
58,2008,Alaska,685532
59,2009,Alaska,694690
60,2010,Alaska,708862
61,2011,Alaska,722038
62,2012,Alaska,730399
63,2013,Alaska,737045
64,2014,Alaska,736307
65,2015,Alaska,737547
66,2016,Alaska,741504
67,2017,Alaska,739786
68,2018,Alaska,737438
0,1900,Arizona,124000
1,1901,Arizona,131000
2,1902,Arizona,138000
3,1903,Arizona,144000
4,1904,Arizona,151000
5,1905,Arizona,158000
6,1906,Arizona,167000
7,1907,Arizona,176000
8,1908,Arizona,186000
9,1909,Arizona,196000
10,1910,Arizona,206000
11,1911,Arizona,212000
12,1912,Arizona,217000
13,1913,Arizona,236000
14,1914,Arizona,253000
15,1915,Arizona,263000
16,1916,Arizona,282000
17,1917,Arizona,311000
18,1918,Arizona,320000
19,1919,Arizona,329000
20,1920,Arizona,340000
21,1921,Arizona,351000
22,1922,Arizona,360000
23,1923,Arizona,371000
24,1924,Arizona,382000
25,1925,Arizona,393000
26,1926,Arizona,403000
27,1927,Arizona,414000
28,1928,Arizona,422000
29,1929,Arizona,430000
30,1930,Arizona,434000
31,1931,Arizona,429000
32,1932,Arizona,426000
33,1933,Arizona,426000
34,1934,Arizona,428000
35,1935,Arizona,434000
36,1936,Arizona,443000
37,1937,Arizona,453000
38,1938,Arizona,466000
39,1939,Arizona,484000
40,1940,Arizona,499000
41,1941,Arizona,490000
42,1942,Arizona,524000
43,1943,Arizona,692000
44,1944,Arizona,610000
45,1945,Arizona,594000
46,1950,Arizona,756000
47,1951,Arizona,785000
48,1952,Arizona,842000
49,1953,Arizona,894000
50,1954,Arizona,933000
51,1955,Arizona,987000
52,1956,Arizona,1053000
53,1957,Arizona,1125000
54,1958,Arizona,1193000
55,1959,Arizona,1261000
56,1960,Arizona,1321000
57,1961,Arizona,1407000
58,1962,Arizona,1471000
59,1963,Arizona,1521000
60,1964,Arizona,1556000
61,1965,Arizona,1584000
62,1966,Arizona,1614000
63,1967,Arizona,1646000
64,1968,Arizona,1682000
65,1969,Arizona,1737000
66,1970,Arizona,1775399
67,1971,Arizona,1895814
68,1972,Arizona,2008291
69,1973,Arizona,2124438
70,1974,Arizona,2223196
71,1975,Arizona,2284847
72,1976,Arizona,2346157
73,1977,Arizona,2425197
74,1978,Arizona,2515316
75,1979,Arizona,2635571
76,1980,Arizona,2810127
77,1981,Arizona,2889865
78,1982,Arizona,2968928
79,1983,Arizona,3067142
80,1984,Arizona,3183535
81,1985,Arizona,3308262
82,1986,Arizona,3437102
83,1987,Arizona,3535179
84,1988,Arizona,3622176
85,1989,Arizona,3665228
86,1990,Arizona,3679056
87,1991,Arizona,3762394
88,1992,Arizona,3867333
89,1993,Arizona,3993390
90,1994,Arizona,4147561
91,1995,Arizona,4306908
92,1996,Arizona,4432308
93,1997,Arizona,4552207
94,1998,Arizona,4667277
95,1999,Arizona,4778332
96,2000,Arizona,4882966
97,2001,Arizona,5303869
98,2002,Arizona,5451472
99,2003,Arizona,5590820
100,2004,Arizona,5758692
101,2005,Arizona,5973970
102,2006,Arizona,6190987
103,2007,Arizona,6360238
104,2008,Arizona,6499207
105,2009,Arizona,6587653
106,2010,Arizona,6676627
107,2011,Arizona,6473497
108,2012,Arizona,6556629
109,2013,Arizona,6634999
110,2014,Arizona,6733840
111,2015,Arizona,6833596
112,2016,Arizona,6945452
113,2017,Arizona,7048876
114,2018,Arizona,7171646
0,1900,Arkansas,1314000
1,1901,Arkansas,1341000
2,1902,Arkansas,1360000
3,1903,Arkansas,1384000
4,1904,Arkansas,1419000
5,1905,Arkansas,1447000
6,1906,Arkansas,1465000
7,1907,Arkansas,1484000
8,1908,Arkansas,1513000
9,1909,Arkansas,1545000
10,1910,Arkansas,1583000
11,1911,Arkansas,1610000
12,1912,Arkansas,1636000
13,1913,Arkansas,1664000
14,1914,Arkansas,1688000
15,1915,Arkansas,1702000
16,1916,Arkansas,1719000
17,1917,Arkansas,1737000
18,1918,Arkansas,1749000
19,1919,Arkansas,1742000
20,1920,Arkansas,1756000
21,1921,Arkansas,1769000
22,1922,Arkansas,1772000
23,1923,Arkansas,1784000
24,1924,Arkansas,1800000
25,1925,Arkansas,1812000
26,1926,Arkansas,1826000
27,1927,Arkansas,1840000
28,1928,Arkansas,1847000
29,1929,Arkansas,1852000
30,1930,Arkansas,1859000
31,1931,Arkansas,1848000
32,1932,Arkansas,1836000
33,1933,Arkansas,1854000
34,1934,Arkansas,1878000
35,1935,Arkansas,1890000
36,1936,Arkansas,1892000
37,1937,Arkansas,1903000
38,1938,Arkansas,1928000
39,1939,Arkansas,1948000
40,1940,Arkansas,1955000
41,1941,Arkansas,1969000
42,1942,Arkansas,1977000
43,1943,Arkansas,1843000
44,1944,Arkansas,1768000
45,1945,Arkansas,1762000
46,1950,Arkansas,1908000
47,1951,Arkansas,1901000
48,1952,Arkansas,1838000
49,1953,Arkansas,1780000
50,1954,Arkansas,1734000
51,1955,Arkansas,1725000
52,1956,Arkansas,1704000
53,1957,Arkansas,1733000
54,1958,Arkansas,1726000
55,1959,Arkansas,1756000
56,1960,Arkansas,1789000
57,1961,Arkansas,1806000
58,1962,Arkansas,1853000
59,1963,Arkansas,1875000
60,1964,Arkansas,1897000
61,1965,Arkansas,1894000
62,1966,Arkansas,1899000
63,1967,Arkansas,1901000
64,1968,Arkansas,1902000
65,1969,Arkansas,1913000
66,1970,Arkansas,1923322
67,1971,Arkansas,1972312
68,1972,Arkansas,2018638
69,1973,Arkansas,2059256
70,1974,Arkansas,2101403
71,1975,Arkansas,2159526
72,1976,Arkansas,2170161
73,1977,Arkansas,2209010
74,1978,Arkansas,2243127
75,1979,Arkansas,2271333
76,1980,Arkansas,2293195
77,1981,Arkansas,2294262
78,1982,Arkansas,2305754
79,1983,Arkansas,2319774
80,1984,Arkansas,2327044
81,1985,Arkansas,2331990
82,1986,Arkansas,2342359
83,1987,Arkansas,2342638
84,1988,Arkansas,2346387
85,1989,Arkansas,2350725
86,1990,Arkansas,2354343
87,1991,Arkansas,2370666
88,1992,Arkansas,2394098
89,1993,Arkansas,2423743
90,1994,Arkansas,2450605
91,1995,Arkansas,2480121
92,1996,Arkansas,2504858
93,1997,Arkansas,2524007
94,1998,Arkansas,2538202
95,1999,Arkansas,2551373
96,2000,Arkansas,2576476
97,2001,Arkansas,2690743
98,2002,Arkansas,2704471
99,2003,Arkansas,2722804
100,2004,Arkansas,2746215
101,2005,Arkansas,2776257
102,2006,Arkansas,2814910
103,2007,Arkansas,2841595
104,2008,Arkansas,2867099
105,2009,Arkansas,2887331
106,2010,Arkansas,2910236
107,2011,Arkansas,2940407
108,2012,Arkansas,2952109
109,2013,Arkansas,2959549
110,2014,Arkansas,2967726
111,2015,Arkansas,2978407
112,2016,Arkansas,2990410
113,2017,Arkansas,3002997
114,2018,Arkansas,3013825
0,1900,California,1490000
1,1901,California,1550000
2,1902,California,1623000
3,1903,California,1702000
4,1904,California,1792000
5,1905,California,1893000
6,1906,California,1976000
7,1907,California,2054000
8,1908,California,2161000
9,1909,California,2282000
10,1910,California,2406000
11,1911,California,2534000
12,1912,California,2668000
13,1913,California,2811000
14,1914,California,2934000
15,1915,California,3008000
16,1916,California,3071000
17,1917,California,3171000
