"","YEAR","STATEID","STATE","REGION","state_name","Population","DTHEXECM","DTHEXECF","DTHILLNM","DTHILLNF","DTHAIDSM","DTHAIDSF","DTHSUICM","DTHSUICF","DTHACCM","DTHACCF","DTHHOMIM","DTHHOMIF","DTHHOMOM","DTHHOMOF","DTHPERSM","DTHPERSF","DTHOTHM","DTHOTHF","DTHTOTM","DTHTOTF"
"1",1978,1,"AL",3,"Alabama",3831836,0,0,7,3,NA,NA,2,0,1,0,NA,NA,NA,NA,6,0,0,0,NA,NA
"2",1978,2,"AK",4,"Alaska",404766,NA,NA,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"3",1978,4,"AZ",4,"Arizona",2515316,0,0,3,1,NA,NA,0,0,0,0,NA,NA,NA,NA,5,0,0,0,NA,NA
"4",1978,5,"AR",3,"Arkansas",2243127,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"5",1978,6,"CA",4,"California",22835958,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,43,1,NA,NA
"6",1978,8,"CO",4,"Colorado",2766748,0,0,0,0,NA,NA,4,0,0,0,NA,NA,NA,NA,2,0,3,0,NA,NA
"7",1978,9,"CT",1,"Connecticut",3091627,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"8",1978,10,"DE",3,"Delaware",594776,0,0,3,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"9",1978,11,"DC",3,"District of Columbia",665052,NA,NA,5,0,NA,NA,2,0,0,0,NA,NA,NA,NA,5,0,0,0,NA,NA
"10",1978,12,"FL",3,"Florida",9102032,0,0,25,1,NA,NA,16,0,0,0,NA,NA,NA,NA,8,0,0,0,NA,NA
"11",1978,13,"GA",3,"Georgia",5295751,0,0,14,0,NA,NA,2,0,3,0,NA,NA,NA,NA,9,0,0,0,NA,NA
"12",1978,15,"HI",4,"Hawaii",931584,NA,NA,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"13",1978,16,"ID",4,"Idaho",910690,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
