"","YEAR","STATEID","STATE","REGION","state_name","Population","CAPRATEM","CAPRATEF","CAPOPM","CAPOPF","CAPDESM","CAPDESF","CAPRATET","CAPOPT","CAPDEST"
"1",1978,1,"AL",3,"Alabama",3831836,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1978,2,"AK",4,"Alaska",404766,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1978,4,"AZ",4,"Arizona",2515316,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1978,5,"AR",3,"Arkansas",2243127,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1978,6,"CA",4,"California",22835958,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1978,8,"CO",4,"Colorado",2766748,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1978,9,"CT",1,"Connecticut",3091627,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1978,10,"DE",3,"Delaware",594776,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1978,11,"DC",3,"District of Columbia",665052,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1978,12,"FL",3,"Florida",9102032,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1978,13,"GA",3,"Georgia",5295751,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1978,15,"HI",4,"Hawaii",931584,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1978,16,"ID",4,"Idaho",910690,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1978,17,"IL",2,"Illinois",11412561,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1978,18,"IN",2,"Indiana",5470214,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1978,19,"IA",2,"Iowa",2918069,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1978,20,"KS",2,"Kansas",2335657,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1978,21,"KY",3,"Kentucky",3609976,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1978,22,"LA",3,"Louisiana",4068579,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1978,23,"ME",1,"Maine",1113566,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1978,24,"MD",3,"Maryland",4183603,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1978,25,"MA",1,"Massachusetts",5736469,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",1978,26,"MI",2,"Michigan",9217761,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",1978,27,"MN",2,"Minnesota",4015341,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1978,28,"MS",3,"Mississippi",2487816,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",1978,29,"MO",2,"Missouri",4889399,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",1978,30,"MT",4,"Montana",782317,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",1978,31,"NE",2,"Nebraska",1563884,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",1978,32,"NV",4,"Nevada",719436,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",1978,33,"NH",1,"New Hampshire",891520,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",1978,34,"NJ",1,"New Jersey",7350804,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",1978,35,"NM",4,"New Mexico",1238034,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",1978,36,"NY",1,"New York",17680589,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",1978,37,"NC",3,"North Carolina",5759492,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1978,38,"ND",2,"North Dakota",651301,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",1978,39,"OH",2,"Ohio",10795581,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",1978,40,"OK",3,"Oklahoma",2917336,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",1978,41,"OR",4,"Oregon",2518298,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",1978,42,"PA",1,"Pennsylvania",11879396,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",1978,44,"RI",1,"Rhode Island",951816,NA,NA,NA,NA,NA,NA,NA,NA,NA
