"","YEAR","STATEID","STATE","REGION","state_name","Population","CAPRATE","CAPOP","CAPDES","gender"
"1",1978,1,"AL",3,"Alabama",3831836,NA,NA,NA,"M"
"2",1978,2,"AK",4,"Alaska",404766,NA,NA,NA,"M"
"3",1978,4,"AZ",4,"Arizona",2515316,NA,NA,NA,"M"
"4",1978,5,"AR",3,"Arkansas",2243127,NA,NA,NA,"M"
"5",1978,6,"CA",4,"California",22835958,NA,NA,NA,"M"
"6",1978,8,"CO",4,"Colorado",2766748,NA,NA,NA,"M"
"7",1978,9,"CT",1,"Connecticut",3091627,NA,NA,NA,"M"
"8",1978,10,"DE",3,"Delaware",594776,NA,NA,NA,"M"
"9",1978,11,"DC",3,"District of Columbia",665052,NA,NA,NA,"M"
"10",1978,12,"FL",3,"Florida",9102032,NA,NA,NA,"M"
"11",1978,13,"GA",3,"Georgia",5295751,NA,NA,NA,"M"
"12",1978,15,"HI",4,"Hawaii",931584,NA,NA,NA,"M"
"13",1978,16,"ID",4,"Idaho",910690,NA,NA,NA,"M"
"14",1978,17,"IL",2,"Illinois",11412561,NA,NA,NA,"M"
"15",1978,18,"IN",2,"Indiana",5470214,NA,NA,NA,"M"
"16",1978,19,"IA",2,"Iowa",2918069,NA,NA,NA,"M"
"17",1978,20,"KS",2,"Kansas",2335657,NA,NA,NA,"M"
"18",1978,21,"KY",3,"Kentucky",3609976,NA,NA,NA,"M"
"19",1978,22,"LA",3,"Louisiana",4068579,NA,NA,NA,"M"
"20",1978,23,"ME",1,"Maine",1113566,NA,NA,NA,"M"
"21",1978,24,"MD",3,"Maryland",4183603,NA,NA,NA,"M"
"22",1978,25,"MA",1,"Massachusetts",5736469,NA,NA,NA,"M"
"23",1978,26,"MI",2,"Michigan",9217761,NA,NA,NA,"M"
"24",1978,27,"MN",2,"Minnesota",4015341,NA,NA,NA,"M"
"25",1978,28,"MS",3,"Mississippi",2487816,NA,NA,NA,"M"
"26",1978,29,"MO",2,"Missouri",4889399,NA,NA,NA,"M"
"27",1978,30,"MT",4,"Montana",782317,NA,NA,NA,"M"
"28",1978,31,"NE",2,"Nebraska",1563884,NA,NA,NA,"M"
"29",1978,32,"NV",4,"Nevada",719436,NA,NA,NA,"M"
"30",1978,33,"NH",1,"New Hampshire",891520,NA,NA,NA,"M"
"31",1978,34,"NJ",1,"New Jersey",7350804,NA,NA,NA,"M"
"32",1978,35,"NM",4,"New Mexico",1238034,NA,NA,NA,"M"
"33",1978,36,"NY",1,"New York",17680589,NA,NA,NA,"M"
"34",1978,37,"NC",3,"North Carolina",5759492,NA,NA,NA,"M"
"35",1978,38,"ND",2,"North Dakota",651301,NA,NA,NA,"M"
"36",1978,39,"OH",2,"Ohio",10795581,NA,NA,NA,"M"
"37",1978,40,"OK",3,"Oklahoma",2917336,NA,NA,NA,"M"
"38",1978,41,"OR",4,"Oregon",2518298,NA,NA,NA,"M"
"39",1978,42,"PA",1,"Pennsylvania",11879396,NA,NA,NA,"M"
"40",1978,44,"RI",1,"Rhode Island",951816,NA,NA,NA,"M"
"41",1978,45,"SC",3,"South Carolina",3044364,NA,NA,NA,"M"
"42",1978,46,"SD",2,"South Dakota",688580,NA,NA,NA,"M"
"43",1978,47,"TN",3,"Tennessee",4486314,NA,NA,NA,"M"
"44",1978,48,"TX",3,"Texas",13500429,NA,NA,NA,"M"
"45",1978,49,"UT",4,"Utah",1367510,NA,NA,NA,"M"
"46",1978,50,"VT",1,"Vermont",498109,NA,NA,NA,"M"
"47",1978,51,"VA",3,"Virginia",5270240,NA,NA,NA,"M"
"48",1978,53,"WA",4,"Washington",3889073,NA,NA,NA,"M"
"49",1978,54,"WV",3,"West Virginia",1923395,NA,NA,NA,"M"
"50",1978,55,"WI",2,"Wisconsin",4646108,NA,NA,NA,"M"
"51",1978,56,"WY",4,"Wyoming",432880,NA,NA,NA,"M"
"52",1978,60,"ST",7,"State prison total",NA,NA,NA,NA,"M"
"53",1978,70,"US",5,"US prison total (state+federal)",NA,NA,NA,NA,"M"
"54",1978,99,"FE",6,"Federal BOP",NA,NA,NA,NA,"M"
"55",1979,1,"AL",3,"Alabama",3866248,NA,NA,NA,"M"
"56",1979,2,"AK",4,"Alaska",402753,NA,NA,NA,"M"
"57",1979,4,"AZ",4,"Arizona",2635571,NA,NA,NA,"M"
"58",1979,5,"AR",3,"Arkansas",2271333,NA,NA,NA,"M"
"59",1979,6,"CA",4,"California",23256880,NA,NA,NA,"M"
"60",1979,8,"CO",4,"Colorado",2849234,NA,NA,NA,"M"
"61",1979,9,"CT",1,"Connecticut",3095917,NA,NA,NA,"M"
"62",1979,10,"DE",3,"Delaware",594984,NA,NA,NA,"M"
"63",1979,11,"DC",3,"District of Columbia",650016,NA,NA,NA,"M"
"64",1979,12,"FL",3,"Florida",9426159,NA,NA,NA,"M"
"65",1979,13,"GA",3,"Georgia",5401384,NA,NA,NA,"M"
"66",1979,15,"HI",4,"Hawaii",953306,NA,NA,NA,"M"
"67",1979,16,"ID",4,"Idaho",932627,NA,NA,NA,"M"
"68",1979,17,"IL",2,"Illinois",11396837,NA,NA,NA,"M"
"69",1979,18,"IN",2,"Indiana",5501174,NA,NA,NA,"M"
"70",1979,19,"IA",2,"Iowa",2915739,NA,NA,NA,"M"
"71",1979,20,"KS",2,"Kansas",2350906,NA,NA,NA,"M"
"72",1979,21,"KY",3,"Kentucky",3641804,NA,NA,NA,"M"
"73",1979,22,"LA",3,"Louisiana",4137665,NA,NA,NA,"M"
"74",1979,23,"ME",1,"Maine",1122563,NA,NA,NA,"M"
"75",1979,24,"MD",3,"Maryland",4191160,NA,NA,NA,"M"
"76",1979,25,"MA",1,"Massachusetts",5738404,NA,NA,NA,"M"
"77",1979,26,"MI",2,"Michigan",9266268,NA,NA,NA,"M"
"78",1979,27,"MN",2,"Minnesota",4050316,NA,NA,NA,"M"
"79",1979,28,"MS",3,"Mississippi",2507069,NA,NA,NA,"M"
"80",1979,29,"MO",2,"Missouri",4912430,NA,NA,NA,"M"
"81",1979,30,"MT",4,"Montana",787305,NA,NA,NA,"M"
"82",1979,31,"NE",2,"Nebraska",1567344,NA,NA,NA,"M"
"83",1979,32,"NV",4,"Nevada",765367,NA,NA,NA,"M"
"84",1979,33,"NH",1,"New Hampshire",909074,NA,NA,NA,"M"
"85",1979,34,"NJ",1,"New Jersey",7366512,NA,NA,NA,"M"
"86",1979,35,"NM",4,"New Mexico",1284722,NA,NA,NA,"M"
"87",1979,36,"NY",1,"New York",17583838,NA,NA,NA,"M"
"88",1979,37,"NC",3,"North Carolina",5823491,NA,NA,NA,"M"
"89",1979,38,"ND",2,"North Dakota",652896,NA,NA,NA,"M"
"90",1979,39,"OH",2,"Ohio",10798298,NA,NA,NA,"M"
"91",1979,40,"OK",3,"Oklahoma",2975310,NA,NA,NA,"M"
"92",1979,41,"OR",4,"Oregon",2588012,NA,NA,NA,"M"
"93",1979,42,"PA",1,"Pennsylvania",11887975,NA,NA,NA,"M"
"94",1979,44,"RI",1,"Rhode Island",950382,NA,NA,NA,"M"
"95",1979,45,"SC",3,"South Carolina",3090267,NA,NA,NA,"M"
"96",1979,46,"SD",2,"South Dakota",688335,NA,NA,NA,"M"
"97",1979,47,"TN",3,"Tennessee",4560473,NA,NA,NA,"M"
"98",1979,48,"TX",3,"Texas",13888371,NA,NA,NA,"M"
"99",1979,49,"UT",4,"Utah",1420238,NA,NA,NA,"M"
"100",1979,50,"VT",1,"Vermont",505372,NA,NA,NA,"M"
"101",1979,51,"VA",3,"Virginia",5307945,NA,NA,NA,"M"
"102",1979,53,"WA",4,"Washington",4017632,NA,NA,NA,"M"
"103",1979,54,"WV",3,"West Virginia",1942146,NA,NA,NA,"M"
"104",1979,55,"WI",2,"Wisconsin",4682811,NA,NA,NA,"M"
"105",1979,56,"WY",4,"Wyoming",454378,NA,NA,NA,"M"
"106",1979,60,"ST",7,"State prison total",NA,NA,NA,NA,"M"
"107",1979,70,"US",5,"US prison total (state+federal)",NA,NA,NA,NA,"M"
"108",1979,99,"FE",6,"Federal BOP",NA,NA,NA,NA,"M"
"109",1980,1,"AL",3,"Alabama",3918531,NA,NA,NA,"M"
"110",1980,2,"AK",4,"Alaska",418488,NA,NA,NA,"M"
"111",1980,4,"AZ",4,"Arizona",2810127,NA,NA,NA,"M"
"112",1980,5,"AR",3,"Arkansas",2293195,NA,NA,NA,"M"
"113",1980,6,"CA",4,"California",24285937,NA,NA,NA,"M"
"114",1980,8,"CO",4,"Colorado",2977895,NA,NA,NA,"M"
"115",1980,9,"CT",1,"Connecticut",3128839,NA,NA,NA,"M"
"116",1980,10,"DE",3,"Delaware",595971,NA,NA,NA,"M"
"117",1980,11,"DC",3,"District of Columbia",636894,NA,NA,NA,"M"
"118",1980,12,"FL",3,"Florida",10192778,NA,NA,NA,"M"
"119",1980,13,"GA",3,"Georgia",5568343,NA,NA,NA,"M"
"120",1980,15,"HI",4,"Hawaii",978174,NA,NA,NA,"M"
"121",1980,16,"ID",4,"Idaho",962203,NA,NA,NA,"M"
"122",1980,17,"IL",2,"Illinois",11443461,NA,NA,NA,"M"
"123",1980,18,"IN",2,"Indiana",5480425,NA,NA,NA,"M"
"124",1980,19,"IA",2,"Iowa",2907975,NA,NA,NA,"M"
"125",1980,20,"KS",2,"Kansas",2384859,NA,NA,NA,"M"
"126",1980,21,"KY",3,"Kentucky",3670385,NA,NA,NA,"M"
"127",1980,22,"LA",3,"Louisiana",4283298,NA,NA,NA,"M"
"128",1980,23,"ME",1,"Maine",1133021,NA,NA,NA,"M"
"129",1980,24,"MD",3,"Maryland",4261908,NA,NA,NA,"M"
"130",1980,25,"MA",1,"Massachusetts",5768683,NA,NA,NA,"M"
"131",1980,26,"MI",2,"Michigan",9209284,NA,NA,NA,"M"
"132",1980,27,"MN",2,"Minnesota",4111674,NA,NA,NA,"M"
"133",1980,28,"MS",3,"Mississippi",2539051,NA,NA,NA,"M"
"134",1980,29,"MO",2,"Missouri",4932079,NA,NA,NA,"M"
"135",1980,30,"MT",4,"Montana",795317,NA,NA,NA,"M"
"136",1980,31,"NE",2,"Nebraska",1578528,NA,NA,NA,"M"
"137",1980,32,"NV",4,"Nevada",847639,NA,NA,NA,"M"
"138",1980,33,"NH",1,"New Hampshire",936644,NA,NA,NA,"M"
"139",1980,34,"NJ",1,"New Jersey",7407475,NA,NA,NA,"M"
"140",1980,35,"NM",4,"New Mexico",1332709,NA,NA,NA,"M"
"141",1980,36,"NY",1,"New York",17567729,NA,NA,NA,"M"
"142",1980,37,"NC",3,"North Carolina",5956661,NA,NA,NA,"M"
"143",1980,38,"ND",2,"North Dakota",659524,NA,NA,NA,"M"
"144",1980,39,"OH",2,"Ohio",10788324,NA,NA,NA,"M"
"145",1980,40,"OK",3,"Oklahoma",3096157,NA,NA,NA,"M"
"146",1980,41,"OR",4,"Oregon",2667984,NA,NA,NA,"M"
"147",1980,42,"PA",1,"Pennsylvania",11858571,NA,NA,NA,"M"
"148",1980,44,"RI",1,"Rhode Island",953007,NA,NA,NA,"M"
"149",1980,45,"SC",3,"South Carolina",3179235,NA,NA,NA,"M"
"150",1980,46,"SD",2,"South Dakota",689569,NA,NA,NA,"M"
