"","YEAR","STATE","REGION","state_name","Population","JURTOT","PVIN","PVOTH","PVINCL","LF","LFINCL","LFCROWD","LFCRINC","FED","OTHST","FACINCL","FACROWD","gender"
"1",1978,"AL",3,"Alabama",3831836,5368,NA,NA,NA,NA,NA,1331,NA,NA,NA,NA,NA,"M"
"2",1978,"AK",4,"Alaska",404766,678,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"3",1978,"AZ",4,"Arizona",2515316,3275,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"4",1978,"AR",3,"Arkansas",2243127,2553,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"5",1978,"CA",4,"California",22835958,20178,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"6",1978,"CO",4,"Colorado",2766748,2419,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"7",1978,"CT",1,"Connecticut",3091627,3044,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"8",1978,"DE",3,"Delaware",594776,1261,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"9",1978,"DC",3,"District of Columbia",665052,2784,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"10",1978,"FL",3,"Florida",9102032,20572,NA,NA,NA,NA,NA,376,NA,NA,NA,NA,NA,"M"
"11",1978,"GA",3,"Georgia",5295751,10762,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"12",1978,"HI",4,"Hawaii",931584,690,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"13",1978,"ID",4,"Idaho",910690,772,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"14",1978,"IL",2,"Illinois",11412561,10918,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"15",1978,"IN",2,"Indiana",5470214,4754,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"16",1978,"IA",2,"Iowa",2918069,1909,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"17",1978,"KS",2,"Kansas",2335657,2243,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
