"","YEAR","STATE","REGION","state_name","Population","ADDRACE","AIAN","API","ASIAN","BLACK","HISP","NHPI","NOTHISP","TOTHCAT","TOTRACE","TWORACE","UNKHISP","UNKRACE","WHITE"
"1",1978,"AL",3,"Alabama",3831836,0,0,1,0,3274,0,0,5472,0,5472,0,0,0,2197
"2",1978,"AK",4,"Alaska",404766,0,57,0,0,185,0,0,0,0,712,0,712,7,463
"3",1978,"AZ",4,"Arizona",2515316,0,97,11,0,683,912,0,2475,0,3456,0,69,63,2602
"4",1978,"AR",3,"Arkansas",2243127,0,0,0,0,1353,0,0,2605,0,2605,0,0,0,1252
"5",1978,"CA",4,"California",22835958,0,222,170,0,7122,0,0,0,0,21325,0,21325,111,13700
"6",1978,"CO",4,"Colorado",2766748,0,18,9,0,551,690,0,1796,0,2486,0,0,0,1908
"7",1978,"CT",1,"Connecticut",3091627,0,2,0,0,1411,453,0,3036,0,3489,0,0,0,2076
"8",1978,"DE",3,"Delaware",594776,0,0,0,0,745,0,0,0,0,1325,0,1325,0,580
"9",1978,"DC",3,"District of Columbia",665052,0,0,0,0,2726,0,0,0,0,2844,0,2844,29,89
"10",1978,"FL",3,"Florida",9102032,0,0,5,0,10690,0,0,0,0,20773,0,20773,0,10078
"11",1978,"GA",3,"Georgia",5295751,0,0,0,0,6827,4,0,0,0,11403,0,11399,49,4527
"12",1978,"HI",4,"Hawaii",931584,0,0,344,0,16,0,0,0,0,725,0,725,281,84
"13",1978,"ID",4,"Idaho",910690,0,29,2,0,19,72,0,730,0,802,0,0,0,752
"14",1978,"IL",2,"Illinois",11412561,0,46,38,0,6524,128,0,11130,0,11258,0,0,0,4650
"15",1978,"IN",2,"Indiana",5470214,0,0,0,0,1447,27,0,4896,0,4923,0,0,4,3472
"16",1978,"IA",2,"Iowa",2918069,0,25,2,0,374,34,0,2031,0,2065,0,0,2,1662
"17",1978,"KS",2,"Kansas",2335657,0,46,6,0,777,72,0,2219,0,2291,0,0,0,1462
"18",1978,"KY",3,"Kentucky",3609976,0,0,0,0,991,0,0,0,0,3390,0,3390,0,2399
"19",1978,"LA",3,"Louisiana",4068579,0,0,0,0,5235,5,0,7286,0,7291,0,0,0,2056
"20",1978,"ME",1,"Maine",1113566,0,12,0,0,8,0,0,711,0,711,0,0,0,691
"21",1978,"MD",3,"Maryland",4183603,0,12,0,0,6036,0,0,0,0,7966,0,7966,13,1905
"22",1978,"MA",1,"Massachusetts",5736469,0,2,3,0,1050,152,0,2681,0,2833,0,0,0,1778
"23",1978,"MI",2,"Michigan",9217761,0,52,6,0,8394,265,0,0,0,14944,0,14679,787,5705
"24",1978,"MN",2,"Minnesota",4015341,0,143,2,0,318,24,0,1941,0,1965,0,0,14,1488
"25",1978,"MS",3,"Mississippi",2487816,0,1,0,0,1933,10,0,2886,0,2896,0,0,0,962
"26",1978,"MO",2,"Missouri",4889399,0,0,0,0,2819,0,0,0,0,5637,0,5637,0,2818
"27",1978,"MT",4,"Montana",782317,0,108,0,0,10,12,0,678,0,690,0,0,0,572
"28",1978,"NE",2,"Nebraska",1563884,0,63,0,0,454,50,0,1297,0,1347,0,0,0,830
"29",1978,"NV",4,"Nevada",719436,0,29,7,0,408,54,0,1296,0,1350,0,0,0,906
"30",1978,"NH",1,"New Hampshire",891520,0,1,0,0,6,0,0,283,0,283,0,0,0,276
"31",1978,"NJ",1,"New Jersey",7350804,0,0,0,0,3610,410,0,5459,0,5869,0,0,0,2259
"32",1978,"NM",4,"New Mexico",1238034,0,32,0,0,182,838,0,755,0,1593,0,0,0,1379
"33",1978,"NY",1,"New York",17680589,0,0,0,0,10825,4057,0,16132,0,20189,0,0,121,9243
"34",1978,"NC",3,"North Carolina",5759492,0,309,5,0,7177,39,0,13213,0,13252,0,0,0,5761
"35",1978,"ND",2,"North Dakota",651301,0,34,0,0,4,2,0,198,0,200,0,0,0,162
"36",1978,"OH",2,"Ohio",10795581,0,0,0,0,6859,0,0,0,0,13107,0,13107,0,6248
"37",1978,"OK",3,"Oklahoma",2917336,0,236,0,0,1212,0,0,0,0,4186,0,4186,51,2687
"38",1978,"OR",4,"Oregon",2518298,0,106,0,0,260,90,0,2801,0,2891,0,0,27,2498
"39",1978,"PA",1,"Pennsylvania",11879396,0,1,3,0,4319,0,0,0,0,7920,0,7920,0,3597
"40",1978,"RI",1,"Rhode Island",951816,0,1,0,0,157,16,0,628,0,664,0,20,20,486
"41",1978,"SC",3,"South Carolina",3044364,0,4,0,0,4206,0,0,0,0,7396,0,7396,0,3186
"42",1978,"SD",2,"South Dakota",688580,0,147,0,0,10,3,0,529,0,532,0,0,0,375
"43",1978,"TN",3,"Tennessee",4486314,0,0,0,0,2772,0,0,0,0,5835,0,5835,0,3063
"44",1978,"TX",3,"Texas",13500429,0,0,0,0,10510,2619,0,21956,0,24575,0,0,0,14065
"45",1978,"UT",4,"Utah",1367510,0,14,7,0,76,136,0,775,0,911,0,0,0,814
"46",1978,"VT",1,"Vermont",498109,0,0,0,0,1,1,0,463,0,464,0,0,0,463
"47",1978,"VA",3,"Virginia",5270240,0,0,0,0,4966,0,0,0,0,8344,0,8344,25,3353
"48",1978,"WA",4,"Washington",3889073,0,180,21,0,914,175,0,4388,0,4563,0,0,75,3373
"49",1978,"WV",3,"West Virginia",1923395,0,1,0,0,189,0,0,1185,0,1185,0,0,0,995
"50",1978,"WI",2,"Wisconsin",4646108,0,96,0,0,1342,81,0,3352,0,3433,0,0,0,1995
"51",1978,"WY",4,"Wyoming",432880,0,3,1,0,1,4,0,429,0,433,0,0,0,428
"52",1978,"ST",7,"State prison total",NA,0,2129,643,0,131978,11435,0,127712,0,276799,0,137652,1679,140370
"53",1978,"US",5,"US prison total (state+federal)",NA,0,2584,699,0,143376,15714,0,152239,0,306602,0,138649,2735,157208
"54",1978,"FE",6,"Federal BOP",NA,0,455,56,0,11398,4279,0,24527,0,29803,0,997,1056,16838
"55",1979,"AL",3,"Alabama",3866248,0,0,0,0,3041,0,0,5343,0,5343,0,0,0,2302
"56",1979,"AK",4,"Alaska",402753,0,240,0,0,88,0,0,0,0,760,0,760,25,407
"57",1979,"AZ",4,"Arizona",2635571,0,112,8,0,720,912,0,2563,0,3490,0,15,15,2635
"58",1979,"AR",3,"Arkansas",2271333,0,0,0,0,1593,0,0,2963,0,2963,0,0,0,1370
"59",1979,"CA",4,"California",23256880,0,239,157,0,7746,5334,0,17298,0,22632,0,0,105,14385
"60",1979,"CO",4,"Colorado",2849234,0,18,10,0,559,702,0,1826,0,2528,0,0,0,1941
"61",1979,"CT",1,"Connecticut",3095917,0,0,0,0,1736,566,0,3495,0,4061,0,0,8,2317
"62",1979,"DE",3,"Delaware",594984,0,1,0,0,858,0,0,0,0,1419,0,1419,0,560
"63",1979,"DC",3,"District of Columbia",650016,0,0,0,0,2883,0,0,0,0,2973,0,2973,0,90
"64",1979,"FL",3,"Florida",9426159,0,0,6,0,10077,0,0,0,0,20133,0,20133,0,10050
"65",1979,"GA",3,"Georgia",5401384,0,2,0,0,7165,2,0,0,0,12098,0,12096,4,4927
"66",1979,"HI",4,"Hawaii",953306,0,0,376,0,19,0,0,0,0,837,0,837,350,92
"67",1979,"ID",4,"Idaho",932627,0,17,2,0,20,82,0,748,0,830,0,0,0,791
"68",1979,"IL",2,"Illinois",11396837,0,29,30,0,6643,317,0,11044,0,11361,0,0,0,4659
"69",1979,"IN",2,"Indiana",5501174,0,5,1,0,1553,49,0,5618,0,5667,0,0,0,4108
"70",1979,"IA",2,"Iowa",2915739,0,33,3,0,349,29,0,2009,0,2099,0,61,61,1653
"71",1979,"KS",2,"Kansas",2350906,0,33,4,0,790,71,0,2219,0,2290,0,0,0,1463
"72",1979,"KY",3,"Kentucky",3641804,0,0,0,0,1069,6,0,3685,0,3691,0,0,0,2622
"73",1979,"LA",3,"Louisiana",4137665,0,0,0,0,5395,3,0,7615,0,7618,0,0,0,2223
"74",1979,"ME",1,"Maine",1122563,0,12,0,0,8,0,0,776,0,776,0,0,0,756
"75",1979,"MD",3,"Maryland",4191160,0,14,0,0,6026,0,0,0,0,7860,0,7860,12,1808
"76",1979,"MA",1,"Massachusetts",5738404,0,1,1,0,1068,150,0,2774,0,2924,0,0,0,1854
"77",1979,"MI",2,"Michigan",9266268,0,60,2,0,8143,229,0,13680,0,15002,0,1093,1345,5452
"78",1979,"MN",2,"Minnesota",4050316,0,174,0,0,364,27,0,2067,0,2094,0,0,28,1528
"79",1979,"MS",3,"Mississippi",2507069,0,5,1,0,2217,2,0,3399,0,3458,0,57,59,1176
"80",1979,"MO",2,"Missouri",4912430,0,0,0,0,2834,9,0,5546,0,5555,0,0,0,2721
"81",1979,"MT",4,"Montana",787305,0,126,0,0,12,16,0,752,0,768,0,0,0,630
"82",1979,"NE",2,"Nebraska",1567344,0,46,1,0,390,44,0,1197,0,1241,0,0,0,804
"83",1979,"NV",4,"Nevada",765367,0,29,8,0,447,60,0,1506,0,1566,0,1,1,1081
"84",1979,"NH",1,"New Hampshire",909074,0,1,0,0,6,2,0,314,0,316,0,0,0,309
"85",1979,"NJ",1,"New Jersey",7366512,0,0,0,0,3642,454,0,5398,0,5852,0,0,0,2210
