"","YEAR","STATEID","STATE","REGION","state_name","Population","WHITE","BLACK","HISP","AIAN","ASIAN","NHPI","API","TWORACE","ADDRACE","UNKRACE","TOTRACE","NOTHISP","UNKHISP","TOTHCAT","gender"
"1",1978,1,"AL",3,"Alabama",3831836,2097,3116,0,0,NA,NA,0,NA,NA,0,5213,5213,0,NA,"M"
"2",1978,2,"AK",4,"Alaska",404766,441,176,NA,54,NA,NA,0,NA,NA,7,678,NA,678,NA,"M"
"3",1978,4,"AZ",4,"Arizona",2515316,2478,641,874,91,NA,NA,5,NA,NA,60,3275,2341,60,NA,"M"
"4",1978,5,"AR",3,"Arkansas",2243127,1207,1304,0,0,NA,NA,0,NA,NA,0,2511,2511,0,NA,"M"
"5",1978,6,"CA",4,"California",22835958,12968,6743,NA,193,NA,NA,165,NA,NA,109,20178,NA,20178,NA,"M"
"6",1978,8,"CO",4,"Colorado",2766748,1862,533,677,16,NA,NA,8,NA,NA,0,2419,1742,0,NA,"M"
"7",1978,9,"CT",1,"Connecticut",3091627,2007,1351,443,2,NA,NA,0,NA,NA,0,3360,2917,0,NA,"M"
"8",1978,10,"DE",3,"Delaware",594776,555,706,NA,0,NA,NA,0,NA,NA,0,1261,NA,1261,NA,"M"
"9",1978,11,"DC",3,"District of Columbia",665052,84,2672,NA,0,NA,NA,0,NA,NA,28,2784,NA,2784,NA,"M"
"10",1978,12,"FL",3,"Florida",9102032,9775,10156,NA,0,NA,NA,5,NA,NA,0,19936,NA,19936,NA,"M"
"11",1978,13,"GA",3,"Georgia",5295751,4308,6498,3,0,NA,NA,0,NA,NA,46,10852,0,10849,NA,"M"
"12",1978,15,"HI",4,"Hawaii",931584,80,14,NA,0,NA,NA,333,NA,NA,261,688,NA,688,NA,"M"
"13",1978,16,"ID",4,"Idaho",910690,727,17,71,26,NA,NA,2,NA,NA,0,772,701,0,NA,"M"
"14",1978,17,"IL",2,"Illinois",11412561,4544,6304,120,32,NA,NA,38,NA,NA,0,10918,10798,0,NA,"M"
"15",1978,18,"IN",2,"Indiana",5470214,3374,1376,25,0,NA,NA,0,NA,NA,4,4754,4729,0,NA,"M"
"16",1978,19,"IA",2,"Iowa",2918069,1603,355,34,25,NA,NA,2,NA,NA,0,1985,1951,0,NA,"M"
"17",1978,20,"KS",2,"Kansas",2335657,1406,737,70,44,NA,NA,6,NA,NA,0,2193,2123,0,NA,"M"
"18",1978,21,"KY",3,"Kentucky",3609976,2332,947,NA,0,NA,NA,0,NA,NA,0,3279,NA,3279,NA,"M"
"19",1978,22,"LA",3,"Louisiana",4068579,1984,5099,5,0,NA,NA,0,NA,NA,0,7083,7078,0,NA,"M"
"20",1978,23,"ME",1,"Maine",1113566,676,8,0,11,NA,NA,0,NA,NA,0,695,695,0,NA,"M"
"21",1978,24,"MD",3,"Maryland",4183603,1854,5843,NA,12,NA,NA,0,NA,NA,13,7722,NA,7722,NA,"M"
"22",1978,25,"MA",1,"Massachusetts",5736469,1725,1008,147,2,NA,NA,3,NA,NA,0,2738,2591,0,NA,"M"
"23",1978,26,"MI",2,"Michigan",9217761,5590,8101,259,51,NA,NA,5,NA,NA,576,14323,0,14064,NA,"M"
"24",1978,27,"MN",2,"Minnesota",4015341,1421,301,23,133,NA,NA,2,NA,NA,14,1871,1848,0,NA,"M"
"25",1978,28,"MS",3,"Mississippi",2487816,925,1860,10,0,NA,NA,0,NA,NA,0,2785,2775,0,NA,"M"
