"","YEAR","STATE","STATEID","white","black","other","check","tot","other_alt","Pop"
"1",1978,"AK",2,463,185,64,0,712,64,404766
"2",1978,"AL",1,2197,3274,1,0,5472,1,3831836
"3",1978,"AR",5,1252,1353,0,0,2605,0,2243127
"4",1978,"AZ",4,2602,683,171,0,3456,171,2515316
"5",1978,"CA",6,13700,7122,503,0,21325,503,22835958
"6",1978,"CO",8,1908,551,27,0,2486,27,2766748
"7",1978,"CT",9,2076,1411,2,0,3489,2,3091627
"8",1978,"DC",11,89,2726,29,0,2844,29,665052
"9",1978,"DE",10,580,745,0,0,1325,0,594776
"10",1978,"FE",99,16838,11398,1567,0,29803,1567,NA
"11",1978,"FL",12,10078,10690,5,0,20773,5,9102032
"12",1978,"GA",13,4527,6827,49,0,11403,49,5295751
"13",1978,"HI",15,84,16,625,0,725,625,931584
"14",1978,"IA",19,1662,374,29,0,2065,29,2918069
"15",1978,"ID",16,752,19,31,0,802,31,910690
"16",1978,"IL",17,4650,6524,84,0,11258,84,11412561
"17",1978,"IN",18,3472,1447,4,0,4923,4,5470214
"18",1978,"KS",20,1462,777,52,0,2291,52,2335657
"19",1978,"KY",21,2399,991,0,0,3390,0,3609976
"20",1978,"LA",22,2056,5235,0,0,7291,0,4068579
"21",1978,"MA",25,1778,1050,5,0,2833,5,5736469
"22",1978,"MD",24,1905,6036,25,0,7966,25,4183603
"23",1978,"ME",23,691,8,12,0,711,12,1113566
"24",1978,"MI",26,5705,8394,845,0,14944,845,9217761
"25",1978,"MN",27,1488,318,159,0,1965,159,4015341
"26",1978,"MO",29,2818,2819,0,0,5637,0,4889399
"27",1978,"MS",28,962,1933,1,0,2896,1,2487816
"28",1978,"MT",30,572,10,108,0,690,108,782317
"29",1978,"NC",37,5761,7177,314,0,13252,314,5759492
"30",1978,"ND",38,162,4,34,0,200,34,651301
"31",1978,"NE",31,830,454,63,0,1347,63,1563884
"32",1978,"NH",33,276,6,1,0,283,1,891520
"33",1978,"NJ",34,2259,3610,0,0,5869,0,7350804
"34",1978,"NM",35,1379,182,32,0,1593,32,1238034
"35",1978,"NV",32,906,408,36,0,1350,36,719436
"36",1978,"NY",36,9243,10825,121,0,20189,121,17680589
"37",1978,"OH",39,6248,6859,0,0,13107,0,10795581
"38",1978,"OK",40,2687,1212,287,0,4186,287,2917336
"39",1978,"OR",41,2498,260,133,0,2891,133,2518298
"40",1978,"PA",42,3597,4319,4,0,7920,4,11879396
"41",1978,"RI",44,486,157,21,0,664,21,951816
"42",1978,"SC",45,3186,4206,4,0,7396,4,3044364
"43",1978,"SD",46,375,10,147,0,532,147,688580
"44",1978,"ST",60,140370,131978,4451,0,276799,4451,NA
"45",1978,"TN",47,3063,2772,0,0,5835,0,4486314
"46",1978,"TX",48,14065,10510,0,0,24575,0,13500429
"47",1978,"US",70,157208,143376,6018,0,306602,6018,222095080
"48",1978,"UT",49,814,76,21,0,911,21,1367510
"49",1978,"VA",51,3353,4966,25,0,8344,25,5270240
"50",1978,"VT",50,463,1,0,0,464,0,498109
"51",1978,"WA",53,3373,914,276,0,4563,276,3889073
"52",1978,"WI",55,1995,1342,96,0,3433,96,4646108
"53",1978,"WV",54,995,189,1,0,1185,1,1923395
"54",1978,"WY",56,428,1,4,0,433,4,432880
"55",1979,"AK",2,407,88,265,0,760,265,402753
"56",1979,"AL",1,2302,3041,0,0,5343,0,3866248
"57",1979,"AR",5,1370,1593,0,0,2963,0,2271333
"58",1979,"AZ",4,2635,720,135,0,3490,135,2635571
"59",1979,"CA",6,14385,7746,501,0,22632,501,23256880
"60",1979,"CO",8,1941,559,28,0,2528,28,2849234
"61",1979,"CT",9,2317,1736,8,0,4061,8,3095917
"62",1979,"DC",11,90,2883,0,0,2973,0,650016
"63",1979,"DE",10,560,858,1,0,1419,1,594984
"64",1979,"FE",99,15386,9543,1442,0,26371,1442,NA
"65",1979,"FL",12,10050,10077,6,0,20133,6,9426159
"66",1979,"GA",13,4927,7165,6,0,12098,6,5401384
"67",1979,"HI",15,92,19,726,0,837,726,953306
"68",1979,"IA",19,1653,349,97,0,2099,97,2915739
"69",1979,"ID",16,791,20,19,0,830,19,932627
"70",1979,"IL",17,4659,6643,59,0,11361,59,11396837
"71",1979,"IN",18,4108,1553,6,0,5667,6,5501174
